Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,46,46,35.7,10.4,22.1,.470,3.7,10.3,.357,6.7,11.8,.569,.553,8.3,10.7,.773,0.7,7.0,7.8,8.6,1.4,0.5,4.1,2.5,32.7,,Luka Dončić
2,Shai Gilgeous-Alexander,27,OKC,PG,49,49,33.3,10.9,19.7,.554,1.8,4.6,.390,9.1,15.1,.603,.599,8.2,9.2,.892,0.6,3.9,4.4,6.4,1.3,0.8,2.1,2.1,31.8,,Shai Gilgeous-Alexander
3,Anthony Edwards,24,MIN,SG,50,50,35.6,10.3,20.8,.493,3.4,8.5,.399,6.9,12.3,.559,.575,5.7,7.2,.789,0.7,4.6,5.2,3.7,1.4,0.8,2.8,1.8,29.6,,Anthony Edwards
4,Jaylen Brown,29,BOS,SF,52,52,34.3,10.8,22.5,.479,2.0,6.0,.341,8.8,16.6,.528,.524,5.5,7.0,.779,1.1,6.0,7.1,4.8,1.0,0.4,3.6,2.8,29.1,,Jaylen Brown
5,Tyrese Maxey,25,PHI,PG,57,57,38.4,10.1,21.7,.465,3.4,8.9,.376,6.8,12.8,.527,.542,5.5,6.2,.892,0.3,3.8,4.1,6.8,2.1,0.8,2.5,2.2,29.1,,Tyrese Maxey
6,Nikola Jokić,30,DEN,C,43,43,34.2,10.1,17.5,.577,2.0,4.8,.413,8.1,12.7,.640,.634,6.6,8.0,.830,3.1,9.4,12.5,10.4,1.4,0.7,3.7,2.7,28.8,,Nikola Jokić
7,Donovan Mitchell,29,CLE,SG,55,55,33.5,9.9,20.6,.483,3.5,9.4,.369,6.5,11.2,.578,.567,5.2,6.1,.852,0.7,3.7,4.5,5.8,1.6,0.3,3.1,2.4,28.5,,Donovan Mitchell
8,Giannis Antetokounmpo,31,MIL,PF,30,30,29.2,10.5,16.2,.645,0.5,1.3,.395,10.0,15.0,.666,.660,6.5,9.9,.658,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,28.0,,Giannis Antetokounmpo
9,Kawhi Leonard,34,LAC,SF,44,44,32.8,9.8,19.8,.494,2.7,7.0,.381,7.1,12.8,.556,.561,5.8,6.5,.905,1.0,5.3,6.4,3.7,2.0,0.5,2.2,1.3,28.0,,Kawhi Leonard
10,Stephen Curry,37,GSW,PG,39,39,31.3,8.9,19.1,.468,4.5,11.5,.391,4.4,7.6,.584,.585,4.9,5.2,.931,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,27.2,,Stephen Curry
11,Jalen Brunson,29,NYK,PG,54,54,34.7,9.5,20.3,.468,2.8,7.6,.372,6.6,12.6,.526,.538,4.9,5.8,.844,0.5,2.9,3.4,6.1,0.7,0.1,2.3,2.4,26.7,,Jalen Brunson
12,Lauri Markkanen,28,UTA,PF,42,42,34.4,9.1,19.2,.477,2.7,7.7,.355,6.4,11.5,.559,.548,5.7,6.4,.896,2.0,4.9,6.9,2.1,1.0,0.5,1.5,1.8,26.7,,Lauri Markkanen
13,Joel Embiid,31,PHI,C,33,33,31.2,9.0,18.2,.495,1.3,4.0,.318,7.7,14.2,.545,.530,7.3,8.5,.858,2.0,5.5,7.5,3.9,0.6,1.1,3.0,2.1,26.6,,Joel Embiid
14,Kevin Durant,37,HOU,SF,55,55,36.6,9.2,18.1,.508,2.4,5.9,.402,6.8,12.2,.559,.573,5.4,6.1,.886,0.6,4.9,5.4,4.5,0.8,0.9,3.2,2.0,26.1,,Kevin Durant
15,Cade Cunningham,24,DET,PG,51,51,34.9,8.9,19.5,.459,2.0,6.0,.339,6.9,13.5,.512,.511,5.5,6.8,.812,0.9,4.8,5.7,9.8,1.5,1.0,3.7,3.2,25.4,,Cade Cunningham
16,Jamal Murray,28,DEN,PG,54,54,34.9,8.8,18.2,.483,3.1,7.4,.421,5.7,10.9,.525,.568,4.4,5.0,.884,0.4,4.0,4.4,7.4,1.0,0.4,2.3,1.5,25.1,,Jamal Murray
17,Devin Booker,29,PHO,SG,44,44,33.3,8.1,17.9,.454,1.7,5.5,.308,6.5,12.5,.518,.501,6.8,7.9,.861,0.8,3.1,3.9,6.1,0.9,0.3,3.3,2.7,24.7,,Devin Booker
18,Michael Porter Jr.,27,BRK,SF,46,46,32.8,8.7,18.5,.470,3.4,9.3,.369,5.2,9.2,.572,.563,3.8,4.4,.861,1.3,5.8,7.2,3.2,1.0,0.2,2.4,2.2,24.6,,Michael Porter Jr.
19,Austin Reaves,27,LAL,SG,32,26,33.6,7.6,15.2,.502,2.5,6.6,.373,5.2,8.6,.602,.583,6.9,7.9,.874,0.7,4.3,5.0,5.5,1.1,0.3,3.3,2.2,24.6,,Austin Reaves
20,James Harden,36,2TM,PG,51,51,35.0,7.2,16.8,.427,3.0,8.4,.360,4.1,8.4,.493,.517,7.1,7.9,.899,0.6,4.1,4.8,8.1,1.2,0.4,3.6,2.0,24.5,,James Harden
20,James Harden,36,LAC,PG,44,44,35.4,7.3,17.5,.419,3.1,8.8,.347,4.3,8.7,.492,.506,7.7,8.5,.901,0.6,4.2,4.8,8.1,1.3,0.4,3.7,1.9,25.4,,James Harden
20,James Harden,36,CLE,PG,7,7,32.1,6.1,12.4,.494,2.9,5.9,.488,3.3,6.6,.500,.609,3.7,4.3,.867,0.9,3.7,4.6,8.0,0.9,0.7,3.3,2.9,18.9,,James Harden
21,Deni Avdija,25,POR,SF,48,48,33.5,7.5,16.1,.463,2.1,6.2,.341,5.4,9.9,.540,.529,7.4,9.2,.800,1.1,5.9,7.0,6.6,0.8,0.6,3.8,2.6,24.4,,Deni Avdija
22,Pascal Siakam,31,IND,PF,52,52,33.7,9.0,18.6,.483,1.8,4.9,.373,7.2,13.7,.523,.533,4.1,6.0,.682,1.5,5.2,6.8,3.9,1.1,0.4,2.2,2.4,23.9,,Pascal Siakam
23,Keyonte George,22,UTA,PG,48,48,33.9,7.5,16.3,.458,2.5,6.7,.375,5.0,9.6,.515,.535,6.4,7.1,.894,0.5,3.4,3.9,6.5,1.1,0.3,3.3,2.3,23.8,,Keyonte George
24,Victor Wembanyama,22,SAS,C,45,36,29.0,8.1,16.1,.501,1.7,5.0,.347,6.4,11.1,.571,.555,5.8,7.1,.815,2.0,9.2,11.2,2.9,1.0,2.8,2.5,2.7,23.7,,Victor Wembanyama
25,Jalen Johnson,24,ATL,SF,54,54,35.2,8.5,17.2,.494,1.6,4.6,.343,6.9,12.6,.549,.540,4.4,5.6,.783,1.5,9.1,10.6,7.9,1.3,0.5,3.4,2.2,23.0,,Jalen Johnson
26,Norman Powell,32,MIA,SG,49,49,30.0,7.5,15.8,.473,2.8,7.3,.390,4.7,8.6,.543,.563,4.7,5.7,.827,0.4,3.3,3.6,2.6,1.2,0.2,2.0,2.1,22.5,,Norman Powell
27,Trey Murphy III,25,NOP,SF,52,52,35.6,7.8,16.3,.476,3.2,8.6,.378,4.5,7.8,.586,.575,3.3,3.7,.892,1.1,4.7,5.7,3.8,1.5,0.3,1.8,2.1,22.1,,Trey Murphy III
28,Zion Williamson,25,NOP,PF,44,37,29.9,8.2,14.0,.585,0.0,0.1,.250,8.2,13.9,.588,.586,5.5,7.7,.714,2.3,3.7,6.0,3.5,1.1,0.6,2.2,2.3,21.9,,Zion Williamson
29,Brandon Ingram,28,TOR,SF,57,57,34.0,8.1,17.3,.470,1.8,4.9,.368,6.3,12.4,.511,.522,3.7,4.5,.829,0.8,5.0,5.8,3.8,0.8,0.8,2.5,2.0,21.8,,Brandon Ingram
30,Paolo Banchero,23,ORL,PF,48,48,34.9,7.3,16.1,.451,1.2,3.8,.311,6.1,12.4,.494,.488,6.0,7.8,.771,1.1,7.4,8.5,5.1,0.7,0.7,2.8,1.9,21.7,,Paolo Banchero
31,Julius Randle,31,MIN,PF,60,60,33.4,7.6,15.6,.484,1.5,4.7,.318,6.1,10.9,.556,.532,5.1,6.2,.822,1.7,5.2,6.8,5.3,1.1,0.3,2.6,2.9,21.7,,Julius Randle
