Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Precious Achiuwa,25,NYK,C,43,8,21.3,2.8,5.4,.517,0.2,0.7,.300,2.6,4.7,.550,.537,0.7,1.2,.627,2.0,3.8,5.8,1.0,0.8,0.7,0.7,1.5,6.5,,achiupr01
2,Steven Adams,31,HOU,C,48,2,12.9,1.5,2.8,.522,0.0,0.0,.000,1.5,2.8,.526,.522,0.7,1.6,.423,2.8,2.6,5.4,1.3,0.4,0.4,0.9,1.0,3.6,,adamsst01
3,Bam Adebayo,27,MIA,C,65,65,34.4,6.8,13.9,.487,0.8,2.7,.312,5.9,11.2,.529,.517,3.2,4.2,.758,2.5,7.4,9.9,4.3,1.3,0.7,2.1,2.2,17.5,,adebaba01
4,Ochai Agbaji,24,TOR,SG,55,39,26.9,4.0,8.0,.503,1.5,3.8,.399,2.5,4.2,.597,.598,0.6,0.8,.689,0.9,2.8,3.7,1.5,0.8,0.5,0.8,1.8,10.1,,agbajoc01
5,Santi Aldama,24,MEM,PF,53,13,25.0,5.0,10.2,.487,1.8,4.8,.375,3.2,5.4,.588,.576,0.9,1.3,.700,1.6,5.1,6.7,2.8,0.8,0.5,1.0,1.1,12.7,,aldamsa01
6,Trey Alexander,21,DEN,SG,20,0,4.3,0.4,1.3,.269,0.1,0.5,.200,0.3,0.8,.313,.308,0.2,0.2,.750,0.0,0.5,0.5,0.4,0.1,0.1,0.2,0.4,1.0,,alexatr01
7,Nickeil Alexander-Walker,26,MIN,SG,69,10,25.2,3.3,7.4,.444,1.8,4.5,.397,1.5,3.0,.515,.563,0.9,1.2,.765,0.6,2.5,3.1,2.5,0.6,0.4,1.2,1.7,9.3,,alexani01
8,Grayson Allen,29,PHO,SG,53,3,24.8,3.4,7.6,.450,2.4,5.6,.434,1.0,2.0,.495,.611,1.5,1.8,.811,0.5,2.6,3.1,2.2,0.9,0.4,1.1,1.5,10.7,,allengr01
9,Jarrett Allen,26,CLE,C,67,67,28.6,5.6,7.9,.702,0.0,0.0,.000,5.6,7.9,.706,.702,2.6,3.4,.743,2.7,7.6,10.2,2.0,1.0,1.0,1.2,1.6,13.7,,allenja01
10,Jose Alvarado,26,NOP,PG,44,12,23.8,3.4,8.4,.407,2.0,5.2,.384,1.4,3.2,.444,.526,0.9,1.1,.816,0.5,1.9,2.3,4.6,1.4,0.3,1.2,1.7,9.8,,alvarjo01
11,Kyle Anderson,31,2TM,PF,49,4,14.9,2.0,4.4,.450,0.4,1.2,.367,1.6,3.2,.481,.500,0.7,1.0,.702,0.9,2.3,3.2,2.2,0.6,0.5,0.6,1.2,5.1,,anderky01
12,Giannis Antetokounmpo,30,MIL,PF,55,55,33.9,12.1,20.0,.603,0.1,0.8,.182,11.9,19.2,.621,.607,6.1,10.2,.598,2.3,9.8,12.1,6.0,0.8,1.2,3.3,2.5,30.4,,antetgi01
13,Cole Anthony,24,ORL,PG,61,22,18.6,3.5,8.3,.423,1.1,3.2,.349,2.4,5.1,.470,.490,1.4,1.7,.821,0.7,2.3,3.0,2.9,0.7,0.4,1.6,2.3,9.6,,anthoco01
14,OG Anunoby,27,NYK,PF,60,60,36.8,6.2,13.2,.468,2.2,6.0,.367,4.0,7.2,.553,.552,2.2,2.7,.793,1.4,3.5,4.9,2.2,1.4,0.9,1.4,2.3,16.8,,anunoog01
15,Deni Avdija,24,POR,SF,62,44,29.0,5.0,10.7,.467,1.5,4.4,.351,3.5,6.3,.547,.538,3.8,4.9,.771,1.3,5.4,6.7,3.6,0.9,0.5,2.6,2.4,15.3,,avdijde01
16,Deandre Ayton,26,POR,C,40,40,30.2,6.6,11.7,.566,0.2,0.8,.188,6.5,10.9,.594,.573,1.0,1.5,.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,,aytonde01
17,Marvin Bagley III,25,2TM,PF,24,1,8.8,1.8,3.4,.519,0.1,0.6,.214,1.6,2.8,.582,.537,0.8,1.1,.667,1.3,1.5,2.7,0.3,0.3,0.3,0.5,0.6,4.4,,baglema01
18,Patrick Baldwin Jr.,22,WAS,SF,22,0,4.6,0.8,1.5,.515,0.5,1.0,.524,0.3,0.5,.500,.682,0.1,0.2,.500,0.2,0.8,1.0,0.1,0.1,0.1,0.2,0.2,2.1,,baldwpa01
19,LaMelo Ball,23,CHO,PG,44,44,32.1,8.7,21.5,.402,3.8,11.5,.335,4.8,10.1,.477,.491,4.2,5.0,.837,1.0,4.1,5.1,7.2,1.2,0.3,3.5,3.3,25.4,,ballla01
20,Lonzo Ball,27,CHI,PG,35,14,22.2,2.5,6.9,.366,1.9,5.6,.344,0.6,1.4,.458,.504,0.6,0.8,.815,0.7,2.7,3.4,3.3,1.3,0.5,1.2,1.6,7.6,,balllo01
21,Mo Bamba,26,2TM,C,31,2,13.1,1.7,3.6,.468,0.5,1.7,.283,1.2,1.9,.638,.536,0.6,0.9,.704,1.0,3.6,4.5,0.5,0.3,1.0,0.6,1.8,4.5,,bambamo01
22,Paolo Banchero,22,ORL,PF,35,35,34.1,8.6,19.4,.444,1.9,5.9,.325,6.7,13.5,.496,.493,6.0,8.4,.713,1.1,6.1,7.2,4.7,0.8,0.7,2.8,2.1,25.1,,banchpa01
23,Desmond Bane,26,MEM,SG,56,55,31.4,6.9,14.4,.484,2.2,5.8,.380,4.8,8.6,.554,.560,2.5,2.9,.877,0.9,5.3,6.3,5.5,1.2,0.4,2.5,2.4,18.6,,banede01
24,Dalano Banton,25,POR,PG,53,0,14.9,2.8,6.7,.415,1.1,2.9,.361,1.7,3.8,.457,.494,1.2,1.8,.710,0.4,1.5,1.9,2.0,0.6,0.4,1.2,0.8,7.8,,bantoda01
25,Dominick Barlow,21,ATL,SF,22,3,9.2,1.4,2.9,.484,0.2,0.8,.294,1.2,2.1,.553,.523,0.5,0.8,.647,0.5,1.3,1.7,0.4,0.3,0.5,0.1,0.8,3.5,,barlodo01
26,Harrison Barnes,32,SAS,PF,66,66,27.4,4.1,8.1,.508,1.8,4.1,.431,2.3,4.0,.586,.617,1.9,2.5,.779,1.4,2.5,3.9,1.7,0.4,0.2,0.6,0.9,11.9,,barneha02
27,Scottie Barnes,23,TOR,PF,53,53,33.8,7.3,16.6,.443,1.2,4.5,.264,6.2,12.1,.509,.478,3.7,4.8,.776,1.7,6.2,7.9,5.9,1.6,1.0,2.9,1.9,19.6,,barnesc01
28,RJ Barrett,24,TOR,SF,52,52,32.9,8.0,17.0,.472,1.9,5.3,.359,6.2,11.8,.523,.528,3.5,5.4,.649,1.0,5.4,6.5,5.7,0.8,0.3,3.0,2.5,21.5,,barrerj01
29,Charles Bassey,24,SAS,C,34,1,10.7,2.0,3.4,.586,0.0,0.0,,2.0,3.4,.586,.586,0.6,1.0,.636,1.6,2.8,4.4,0.5,0.4,0.9,0.7,1.4,4.6,,bassech01
30,Emoni Bates,21,CLE,SF,7,0,3.9,0.3,2.0,.143,0.3,1.6,.182,0.0,0.4,.000,.214,0.0,0.0,,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.3,0.9,,batesem01
31,Jamison Battle,23,TOR,SF,45,3,14.3,2.1,4.8,.442,1.5,3.6,.413,0.6,1.2,.527,.595,0.3,0.3,.857,0.6,1.6,2.2,0.8,0.1,0.2,0.4,1.4,6.0,,battlja01
32,Nicolas Batum,36,LAC,PF,66,8,18.0,1.3,3.1,.413,1.1,2.6,.410,0.2,0.5,.424,.585,0.2,0.3,.833,0.7,2.2,2.8,1.2,0.7,0.5,0.4,1.4,3.9,,batumni01
33,Damion Baugh,24,CHO,SG,10,1,25.4,3.1,8.9,.348,0.9,4.1,.220,2.2,4.8,.458,.399,0.9,1.1,.818,0.7,1.8,2.5,3.8,1.3,0.1,1.8,1.6,8.0,,baughda01
34,Bradley Beal,31,PHO,SG,48,33,32.2,6.6,13.1,.505,1.9,4.9,.395,4.7,8.3,.569,.578,2.2,2.7,.813,0.7,2.7,3.4,3.6,1.0,0.5,1.9,2.6,17.3,,bealbr01
35,Malik Beasley,28,DET,SG,68,14,27.4,5.7,12.9,.442,3.9,9.2,.421,1.8,3.7,.494,.592,1.1,1.6,.649,0.6,2.1,2.7,1.7,1.0,0.1,1.1,1.5,16.3,,beaslma01
36,MarJon Beauchamp,24,3TM,SF,30,0,4.8,0.8,1.9,.404,0.3,0.9,.385,0.4,1.0,.419,.491,0.4,0.5,.688,0.3,0.9,1.2,0.3,0.1,0.0,0.5,0.4,2.2,,beaucma01
37,Reece Beekman,23,2TM,PG,30,0,11.1,0.8,2.6,.312,0.2,1.0,.194,0.6,1.5,.391,.351,0.2,0.4,.545,0.3,0.6,0.9,1.3,0.6,0.1,0.5,0.7,2.0,,beekmre01
38,Goga Bitadze,25,ORL,C,58,41,21.3,3.1,5.0,.624,0.1,0.4,.130,3.1,4.6,.667,.629,1.2,1.9,.637,2.4,4.5,6.9,2.0,0.7,1.5,1.1,2.2,7.5,,bitadgo01
