Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Channing Frye,,ARIZONA,,34,0,23.94,3.59,6.03,0.595,0.0,0.0,0.0,3.59,6.03,0.595,0.595,2.35,3.24,0.727,2.38,3.91,6.29,0.74,0.47,1.47,1.38,2.91,9.53,,
2,Joey Graham,,CFLORIDA,,29,0,28.69,4.62,9.07,0.51,0.69,1.79,0.385,3.93,7.28,0.54,0.548,3.38,4.41,0.766,1.62,4.0,5.62,2.41,0.69,0.52,2.28,3.03,13.31,,
3,Danny Granger,,BRADLEY,,29,0,24.55,3.83,8.59,0.446,0.1,0.59,0.176,3.72,8.0,0.466,0.452,3.38,4.28,0.79,2.72,4.41,7.14,0.72,1.28,2.41,1.9,3.69,11.14,,
4,Hakim Warrick,,SYRACUSE,,35,0,17.4,2.71,4.91,0.552,0.03,0.06,0.5,2.69,4.86,0.553,0.555,0.66,1.71,0.383,2.0,2.8,4.8,0.51,0.57,0.63,1.14,2.03,6.11,,
5,Julius Hodge,,NCSTATE,,33,0,27.48,3.48,7.88,0.442,1.0,2.88,0.347,2.48,5.0,0.497,0.506,2.7,3.64,0.742,1.91,2.94,4.85,2.15,0.94,0.3,1.85,2.61,10.67,,
6,Luther Head,,ILLINOIS,,35,0,16.6,1.8,3.54,0.508,0.46,1.57,0.291,1.34,1.97,0.681,0.573,0.4,0.71,0.56,0.49,1.43,1.91,1.69,0.97,0.14,1.23,1.57,4.46,,
7,Jason Maxiell,,CINCY,,35,0,20.91,3.34,6.06,0.552,0.0,0.0,0.0,3.34,6.06,0.552,0.552,1.37,2.34,0.585,2.26,4.51,6.77,0.09,0.69,1.49,0.74,2.6,8.06,,
8,Wayne Simien,,KANSAS,,32,0,15.31,3.09,5.59,0.553,0.0,0.0,0.0,3.09,5.59,0.553,0.553,1.94,2.62,0.738,2.0,3.28,5.28,0.28,0.62,0.84,1.06,1.78,8.12,,
9,David Lee,,FLORIDA,,31,0,17.97,2.71,4.68,0.579,0.0,0.0,0.0,2.71,4.68,0.579,0.579,1.61,2.94,0.549,2.13,2.55,4.68,1.03,0.65,0.68,1.71,1.48,7.03,,
10,Salim Stoudamire,,ARIZONA,,34,0,30.03,3.79,8.56,0.443,2.15,4.74,0.453,1.65,3.82,0.431,0.569,3.03,3.35,0.904,0.41,1.71,2.12,1.12,0.79,0.0,1.59,2.38,12.76,,
11,Daniel Ewing,,DUKE,,35,0,18.23,2.29,4.77,0.479,0.91,2.0,0.457,1.37,2.77,0.495,0.575,1.0,1.46,0.686,1.03,1.2,2.23,1.34,0.91,0.03,0.83,2.26,6.49,,
12,Ronny Turiaf,,GONZAGA,,32,0,19.5,2.28,4.34,0.525,0.0,0.06,0.0,2.28,4.28,0.533,0.525,2.78,4.0,0.695,1.59,3.44,5.03,0.5,0.38,0.81,1.69,2.88,7.34,,
13,Travis Diener,,MARQUETTE,,33,0,23.67,2.33,5.42,0.43,1.73,3.91,0.442,0.61,1.52,0.4,0.589,1.55,2.03,0.761,0.45,2.0,2.45,2.61,1.18,0.06,0.82,1.91,7.94,,
14,Ryan Gomes,,PROVIDENCE,,24,0,31.5,5.5,9.83,0.559,0.0,0.12,0.0,5.5,9.71,0.567,0.559,2.83,4.62,0.613,3.58,4.25,7.83,1.54,1.38,0.67,1.54,2.62,13.83,,
15,Robert Whaley,,BARTONCCC,,32,0,24.5,7.16,12.66,0.565,0.03,0.06,0.5,7.12,12.59,0.566,0.567,2.47,4.31,0.572,0.0,6.75,6.75,1.06,0.0,0.0,0.0,0.0,16.81,,
16,Orien Greene,,FLORIDA,,31,0,23.77,2.03,4.68,0.434,0.65,2.13,0.303,1.39,2.55,0.544,0.503,0.45,0.71,0.636,1.03,1.81,2.84,2.87,1.97,0.19,1.58,2.61,5.16,,
17,Dijon Thompson,,UCLA,,33,0,14.97,1.73,4.03,0.429,0.39,1.45,0.271,1.33,2.58,0.518,0.477,0.61,0.7,0.87,0.7,1.52,2.21,1.06,0.76,0.27,1.24,1.18,4.45,,
18,Lawrence Roberts,,BAYLOR,,30,0,28.6,5.8,13.03,0.445,0.87,2.63,0.329,4.93,10.4,0.474,0.478,4.13,6.1,0.678,3.07,5.17,8.23,1.3,1.7,1.3,1.93,2.67,16.6,,
19,James White,,FLORIDA,,30,0,20.5,2.37,5.63,0.42,0.67,2.3,0.29,1.7,3.33,0.51,0.479,0.67,1.33,0.5,0.87,2.0,2.87,1.7,0.9,0.57,1.6,2.03,6.07,,
