Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Cooper Flagg,,DUKE,,37,0,30.68,6.46,13.43,0.481,1.41,3.65,0.385,5.05,9.78,0.517,0.533,4.84,5.76,0.84,1.32,6.16,7.49,4.22,1.41,1.35,2.11,1.89,19.16,,
2,Dylan Harper,,RUTGERS,,29,0,32.59,6.69,13.83,0.484,1.72,5.17,0.333,4.97,8.66,0.574,0.546,4.34,5.79,0.75,0.76,3.83,4.59,4.03,1.45,0.59,2.41,1.93,19.45,,
3,VJ Edgecombe,,BAYLOR,,33,0,32.73,5.03,11.55,0.436,1.58,4.64,0.34,3.45,6.91,0.5,0.504,3.36,4.3,0.782,2.03,3.58,5.61,3.21,2.06,0.61,1.94,2.55,15.0,,
4,Kon Knueppel,,DUKE,,39,0,30.49,4.64,9.69,0.479,2.15,5.31,0.406,2.49,4.38,0.567,0.59,3.0,3.28,0.914,1.03,2.97,4.0,2.74,1.03,0.15,1.36,2.13,14.44,,
5,Ace Bailey,,RUTGERS,,30,0,33.33,6.77,14.7,0.46,1.57,4.53,0.346,5.2,10.17,0.511,0.514,2.47,3.57,0.692,2.07,5.1,7.17,1.27,1.0,1.27,2.03,2.77,17.57,,
6,Tre Johnson,,TEXAS,,33,0,34.7,6.79,15.91,0.427,2.7,6.79,0.397,4.09,9.12,0.449,0.511,3.67,4.21,0.871,0.33,2.79,3.12,2.73,0.94,0.3,1.82,2.09,19.94,,
7,Jeremiah Fears,,OKLAHOMA,,34,0,30.21,5.29,12.21,0.434,1.12,3.94,0.284,4.18,8.26,0.505,0.48,5.38,6.32,0.851,0.74,3.41,4.15,4.12,1.65,0.12,3.41,1.88,17.09,,
8,Egor Dёmin,,BYU,,33,0,27.52,3.82,9.27,0.412,1.27,4.67,0.273,2.55,4.61,0.553,0.48,1.73,2.48,0.695,0.3,3.58,3.88,5.45,1.15,0.36,2.94,1.24,10.64,,
9,Collin Murray-Boyles,,SCAROLINA,,32,0,30.62,6.19,10.56,0.586,0.28,1.06,0.265,5.91,9.5,0.622,0.599,4.16,5.88,0.707,2.22,6.03,8.25,2.41,1.47,1.34,2.44,2.56,16.81,,
10,Khaman Maluach,,DUKE,,39,0,21.23,3.49,4.9,0.712,0.1,0.41,0.25,3.38,4.49,0.754,0.723,1.51,1.97,0.766,2.74,3.85,6.59,0.51,0.21,1.31,0.77,2.05,8.59,,
11,Cedric Coward,,WASHST,,6,0,33.0,5.67,10.17,0.557,2.0,5.0,0.4,3.67,5.17,0.71,0.656,4.33,5.17,0.839,1.83,5.17,7.0,3.67,0.83,1.67,2.17,2.67,17.67,,
12,Derik Queen,,MARYLAND,,36,0,30.36,5.83,11.08,0.526,0.19,0.97,0.2,5.64,10.11,0.558,0.535,4.64,6.06,0.766,2.33,6.64,8.97,1.86,1.08,1.08,2.36,2.14,16.5,,
13,Carter Bryant,,ARIZONA,,37,0,19.3,2.19,4.76,0.46,1.05,2.84,0.371,1.14,1.92,0.592,0.571,1.11,1.59,0.695,0.86,3.24,4.11,0.97,0.95,1.0,1.0,2.3,6.54,,
14,Thomas Sorber,,GEORGETOWN,,24,0,31.33,5.54,10.42,0.532,0.25,1.54,0.162,5.29,8.88,0.596,0.544,3.17,4.38,0.724,2.67,5.79,8.46,2.42,1.46,2.04,2.25,2.21,14.5,,
15,Walter Clayton,,FLORIDA,,39,0,32.59,6.03,13.44,0.448,3.0,7.77,0.386,3.03,5.67,0.534,0.56,3.23,3.69,0.875,0.36,3.33,3.69,4.18,1.18,0.51,2.41,1.87,18.28,,
16,Kasparas Jakučionis,,ILLINOIS,,33,0,31.85,4.52,10.27,0.44,1.64,5.15,0.318,2.88,5.12,0.562,0.519,4.3,5.09,0.845,1.39,4.3,5.7,4.73,0.88,0.27,3.73,2.67,14.97,,
17,Will Riley,,ILLINOIS,,35,0,25.69,4.43,10.26,0.432,1.34,4.11,0.326,3.09,6.14,0.502,0.497,2.4,3.31,0.724,1.2,2.94,4.14,2.23,0.26,0.29,1.2,1.2,12.6,,
18,Drake Powell,,UNC,,37,0,25.59,2.76,5.7,0.483,0.97,2.57,0.379,1.78,3.14,0.569,0.569,0.95,1.46,0.648,0.7,2.68,3.38,1.08,0.7,0.68,0.73,1.76,7.43,,
19,Asa Newell,,GEORGIA,,33,0,29.03,5.79,10.67,0.543,0.79,2.7,0.292,5.0,7.97,0.627,0.58,3.06,4.09,0.748,3.33,3.55,6.88,0.88,1.0,0.97,1.12,2.42,15.42,,
20,Nique Clifford,,COLORADOST,,36,0,35.39,6.61,13.33,0.496,1.83,4.86,0.377,4.78,8.47,0.564,0.565,3.86,4.97,0.777,1.47,8.14,9.61,4.44,1.19,0.61,2.58,2.42,18.92,,
21,Jase Richardson,,MICHIGANST,,36,0,25.33,4.0,8.11,0.493,1.31,3.17,0.412,2.69,4.94,0.545,0.574,2.83,3.39,0.836,0.64,2.67,3.31,1.89,0.83,0.31,0.83,1.53,12.14,,
22,Danny Wolf,,MICHIGAN,,37,0,30.49,5.03,10.11,0.497,1.03,3.05,0.336,4.0,7.05,0.567,0.548,2.14,3.59,0.594,2.3,7.43,9.73,3.57,0.68,1.35,3.24,2.05,13.22,,
23,Liam McNeeley,,UCONN,,27,0,32.11,4.37,11.48,0.381,1.7,5.37,0.317,2.67,6.11,0.436,0.455,4.07,4.7,0.866,0.93,5.04,5.96,2.26,0.56,0.22,1.85,2.0,14.52,,
24,Yanic Konan Niederhäuser,,PENNST,,29,0,25.1,4.93,8.07,0.611,0.03,0.38,0.091,4.9,7.69,0.637,0.613,3.0,4.52,0.664,2.07,4.28,6.34,0.76,0.66,2.31,1.66,2.52,12.9,,
25,Rasheer Fleming,,STJOSEPHS,,35,0,31.26,5.37,10.11,0.531,1.77,4.54,0.39,3.6,5.57,0.646,0.619,2.14,2.89,0.743,2.06,6.49,8.54,1.26,1.4,1.54,1.54,2.54,14.66,,
26,Sion James,,DUKE,,39,0,25.54,2.87,5.56,0.516,0.79,1.92,0.413,2.08,3.64,0.57,0.588,2.08,2.56,0.81,0.74,3.44,4.18,2.95,0.82,0.26,1.21,2.03,8.62,,
27,Ryan Kalkbrenner,,CREIGHTON,,35,0,34.46,7.74,11.86,0.653,0.6,1.74,0.344,7.14,10.11,0.706,0.678,3.11,4.57,0.681,2.4,6.26,8.66,1.54,0.54,2.66,1.46,1.4,19.2,,
28,Johni Broome,,AUBURN,,36,0,30.22,7.31,14.33,0.51,0.69,2.5,0.278,6.61,11.83,0.559,0.534,3.28,5.58,0.587,3.67,7.14,10.81,2.89,0.94,2.11,1.58,2.11,18.58,,
29,Adou Thiero,,ARKANSAS,,27,0,27.52,5.11,9.37,0.545,0.41,1.59,0.256,4.7,7.78,0.605,0.567,4.44,6.48,0.686,1.78,4.04,5.81,1.89,1.63,0.74,1.7,2.56,15.07,,
30,Chaz Lanier,,TENNESSEE,,38,0,31.37,6.39,14.84,0.431,3.24,8.18,0.395,3.16,6.66,0.474,0.54,1.97,2.61,0.758,0.5,3.39,3.89,1.05,0.89,0.13,1.11,1.58,18.0,,
31,Kam Jones,,MARQUETTE,,34,0,33.79,7.82,16.21,0.483,1.88,6.06,0.311,5.94,10.15,0.586,0.541,1.68,2.59,0.648,0.65,3.82,4.47,5.88,1.38,0.26,1.85,2.21,19.21,,
32,Alijah Martin,,FLORIDA,,38,0,30.39,4.97,11.0,0.452,2.08,5.95,0.35,2.89,5.05,0.573,0.547,2.34,3.08,0.761,1.21,3.26,4.47,2.16,1.47,0.18,1.45,1.42,14.37,,
33,Micah Peavy,,GEORGETOWN,,32,0,37.0,6.84,14.22,0.481,1.62,4.06,0.4,5.22,10.16,0.514,0.538,1.88,2.84,0.659,1.66,4.12,5.78,3.56,2.31,0.5,2.59,2.94,17.19,,
34,Koby Brea,,KENTUCKY,,36,0,28.06,4.08,8.69,0.47,2.58,5.94,0.435,1.5,2.75,0.545,0.618,0.89,0.97,0.914,0.28,2.92,3.19,1.33,0.47,0.33,0.47,1.33,11.64,,
35,Maxime Raynaud,,STANFORD,,35,0,33.51,7.51,16.09,0.467,1.91,5.51,0.347,5.6,10.57,0.53,0.527,3.26,4.23,0.77,2.71,7.89,10.6,1.66,0.86,1.43,2.4,2.03,20.2,,
36,Jamir Watkins,,FLORIDAST,,32,0,30.94,5.53,12.97,0.427,1.66,5.16,0.321,3.88,7.81,0.496,0.49,5.72,7.66,0.747,1.03,4.66,5.69,2.38,1.19,0.53,2.69,3.16,18.44,,
37,Brooks Barnhizer,,NWESTERN,,17,0,36.94,6.06,14.65,0.414,1.0,3.76,0.266,5.06,10.88,0.465,0.448,4.0,5.24,0.764,1.53,7.29,8.82,4.24,2.29,1.12,2.76,1.71,17.12,,
38,Amari Williams,,KENTUCKY,,36,0,22.78,3.83,6.83,0.561,0.03,0.11,0.25,3.81,6.72,0.566,0.563,3.17,5.08,0.623,2.06,6.44,8.5,3.19,0.56,1.22,2.28,2.19,10.86,,
39,Javon Small,,WVIRGINIA,,32,0,36.12,5.72,13.69,0.418,2.59,7.34,0.353,3.12,6.34,0.493,0.513,4.56,5.19,0.88,0.47,3.62,4.09,5.62,1.53,0.34,2.72,1.5,18.59,,
40,Tyrese Proctor,,DUKE,,38,0,29.92,4.34,9.61,0.452,2.34,5.79,0.405,2.0,3.82,0.524,0.574,1.34,1.97,0.68,0.47,2.55,3.03,2.24,0.79,0.11,1.05,1.92,12.37,,
41,Kobe Sanders,,NEVADA,,33,0,31.67,5.24,11.39,0.46,1.24,3.64,0.342,4.0,7.76,0.516,0.515,4.12,5.18,0.795,0.67,3.21,3.88,4.45,1.12,0.27,1.85,2.18,15.85,,
42,John Tonje,,WISCONSIN,,37,0,31.11,5.51,11.86,0.465,2.3,5.92,0.388,3.22,5.95,0.541,0.562,6.24,6.86,0.909,0.78,4.49,5.27,1.81,0.73,0.22,1.84,1.7,19.57,,
43,Taelon Peter,,LIBERTY,,35,0,22.69,4.77,8.26,0.578,2.2,4.86,0.453,2.57,3.4,0.756,0.711,1.94,2.51,0.773,0.31,3.71,4.03,1.03,0.91,0.11,0.6,2.0,13.69,,
44,Will Richard,,FLORIDA,,40,0,31.62,4.62,9.5,0.487,2.0,5.58,0.359,2.62,3.92,0.669,0.592,2.02,2.4,0.844,1.12,3.45,4.58,1.85,1.65,0.33,1.55,2.25,13.28,,
45,Max Shulga,,VCU,,35,0,32.8,4.37,10.06,0.435,2.06,5.31,0.387,2.31,4.74,0.488,0.537,4.23,5.4,0.783,1.74,4.11,5.86,3.97,1.77,0.11,1.69,1.97,15.03,,
46,Jahmai Mashack,,TENNESSEE,,38,0,28.16,1.95,4.29,0.454,0.53,1.5,0.351,1.42,2.79,0.509,0.515,1.58,2.18,0.723,1.37,2.87,4.24,1.5,1.68,0.53,0.92,2.26,6.0,,
47,Aday Mara,,UCLA,,33,1,13.1,2.6,4.4,0.59,0.0,0.0,0.0,2.6,4.4,0.59,0.59,1.2,2.2,0.577,1.8,2.2,4.0,1.0,0.2,1.6,0.8,1.4,6.4,,
