Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Ben Simmons,,LSU,,33,0,34.88,6.55,11.7,0.56,0.03,0.09,0.333,6.52,11.61,0.561,0.561,6.03,9.0,0.67,3.12,8.64,11.76,4.79,1.97,0.82,3.36,2.79,19.15,,
2,Brandon Ingram,,DUKE,,36,0,34.61,5.94,13.44,0.442,2.22,5.42,0.41,3.72,8.03,0.464,0.525,3.22,4.72,0.682,1.86,4.92,6.78,2.0,1.14,1.36,2.0,2.06,17.33,,
3,Jaylen Brown,,CALIFORNIA,,34,0,27.62,4.79,11.12,0.431,0.88,3.0,0.294,3.91,8.12,0.482,0.471,4.18,6.38,0.654,1.06,4.29,5.35,2.0,0.79,0.65,3.09,3.18,14.65,,
4,Kris Dunn,,PROVIDENCE,,33,0,32.97,5.58,12.45,0.448,1.27,3.42,0.372,4.3,9.03,0.477,0.499,4.0,5.76,0.695,1.09,4.24,5.33,6.24,2.48,0.61,3.52,2.82,16.42,,
5,Buddy Hield,,OKLAHOMA,,37,0,35.38,8.14,16.24,0.501,3.97,8.7,0.457,4.16,7.54,0.552,0.623,4.76,5.41,0.88,1.24,4.49,5.73,2.03,1.14,0.49,3.05,2.05,25.0,,
6,Jamal Murray,,KENTUCKY,,36,0,35.19,6.78,14.94,0.454,3.14,7.69,0.408,3.64,7.25,0.502,0.559,3.31,4.22,0.783,1.47,3.69,5.17,2.19,0.97,0.31,2.33,2.08,20.0,,
7,Marquese Chriss,,WASHINGTON,,34,0,24.94,5.26,9.94,0.53,0.62,1.76,0.35,4.65,8.18,0.568,0.561,2.59,3.79,0.682,2.5,2.88,5.38,0.76,0.94,1.62,2.03,4.06,13.74,,
8,Jakob Poeltl,,UTAH,,36,0,30.36,6.33,9.81,0.646,0.0,0.0,0.0,6.33,9.81,0.646,0.646,4.56,6.61,0.689,2.83,6.25,9.08,1.94,0.58,1.56,2.06,2.31,17.22,,
9,Domantas Sabonis,,GONZAGA,,36,0,31.92,6.64,10.86,0.611,0.14,0.39,0.357,6.5,10.47,0.621,0.618,4.17,5.42,0.769,3.06,8.78,11.83,1.78,0.61,0.86,2.56,3.19,17.58,,
10,Taurean Prince,,BAYLOR,,34,0,30.59,5.5,12.74,0.432,1.56,4.32,0.361,3.94,8.41,0.469,0.493,3.32,4.29,0.774,2.38,3.68,6.06,2.26,1.26,0.74,2.68,2.53,15.88,,
11,Denzel Valentine,,MICHIGANST,,31,0,32.97,6.61,14.32,0.462,3.35,7.55,0.444,3.26,6.77,0.481,0.579,2.61,3.06,0.853,0.81,6.71,7.52,7.77,1.03,0.23,2.74,1.68,19.19,,
12,Wade Baldwin,,VANDY,,33,0,30.36,4.09,9.58,0.427,1.24,3.06,0.406,2.85,6.52,0.437,0.492,4.7,5.88,0.799,0.39,3.61,4.0,5.21,1.21,0.33,2.76,2.58,14.12,,
13,Henry Ellenson,,MARQUETTE,,33,0,33.55,5.88,13.18,0.446,0.91,3.15,0.288,4.97,10.03,0.495,0.48,4.33,5.79,0.749,2.15,7.58,9.73,1.79,0.85,1.48,2.36,2.55,17.0,,
14,Malik Beasley,,FLORIDAST,,34,0,29.82,5.44,11.56,0.471,1.62,4.18,0.387,3.82,7.38,0.518,0.541,3.06,3.76,0.812,1.29,4.0,5.29,1.5,0.94,0.18,1.74,2.21,15.56,,
15,Caris LeVert,,MICHIGAN,,15,0,30.93,5.47,10.8,0.506,1.93,4.33,0.446,3.53,6.47,0.546,0.596,3.6,4.53,0.794,0.6,4.73,5.33,4.93,1.0,0.2,1.67,1.2,16.47,,
