Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Deron Williams,,ILLINOIS,,32,0,27.12,2.34,5.5,0.426,0.88,2.47,0.354,1.47,3.03,0.485,0.506,0.75,1.41,0.533,0.47,2.5,2.97,4.53,1.44,0.16,1.84,2.38,6.31,,
2,Raymond Felton,,UNC,,35,0,35.43,4.31,10.83,0.398,1.97,5.51,0.358,2.34,5.31,0.441,0.489,2.26,3.26,0.693,0.83,3.26,4.09,6.74,1.6,0.26,3.71,2.63,12.86,,
3,Channing Frye,,ARIZONA,,32,0,25.44,5.16,9.06,0.569,0.0,0.03,0.0,5.16,9.03,0.571,0.569,2.28,3.44,0.664,2.97,5.06,8.03,0.72,0.56,1.88,0.97,2.72,12.59,,
4,Ike Diogu,,ARIZONAST,,32,0,32.19,6.53,10.75,0.608,0.28,0.75,0.375,6.25,10.0,0.625,0.621,5.62,7.66,0.735,3.06,4.72,7.78,0.81,0.25,0.97,2.84,2.88,18.97,,
5,Sean May,,UNC,,11,0,28.0,4.64,9.82,0.472,0.0,0.36,0.0,4.64,9.45,0.49,0.472,2.09,3.64,0.575,2.27,5.82,8.09,1.0,1.55,1.82,1.91,2.18,11.36,,
6,Rashad McCants,,UNC,,35,0,29.89,6.14,12.51,0.491,2.06,4.97,0.414,4.09,7.54,0.542,0.573,2.63,3.77,0.697,1.66,2.97,4.63,1.46,1.4,0.54,2.31,2.71,16.97,,
7,Antoine Wright,,TEXASAM,,28,0,31.75,5.14,14.14,0.364,2.25,5.89,0.382,2.89,8.25,0.351,0.443,1.96,3.21,0.611,1.21,5.43,6.64,1.79,1.25,0.71,2.25,2.68,14.5,,
8,Danny Granger,,BRADLEY,,14,0,27.14,7.07,13.64,0.518,0.43,1.43,0.3,6.64,12.21,0.544,0.534,4.64,6.79,0.684,2.29,5.64,7.93,1.14,1.36,1.36,2.21,3.86,19.21,,
9,Hakim Warrick,,SYRACUSE,,35,0,32.74,5.63,10.4,0.541,0.0,0.03,0.0,5.63,10.37,0.543,0.541,3.54,5.31,0.667,3.2,5.29,8.49,1.63,1.4,1.26,2.63,2.69,14.8,,
10,Julius Hodge,,NCSTATE,,31,0,35.26,5.29,12.06,0.439,1.32,4.03,0.328,3.97,8.03,0.494,0.493,5.77,7.06,0.817,1.68,4.45,6.13,3.52,1.26,0.74,2.81,2.61,17.68,,
11,Nate Robinson,,WASHINGTON,,23,0,25.04,5.22,11.3,0.462,0.83,3.22,0.257,4.39,8.09,0.543,0.498,1.78,2.48,0.719,1.43,2.43,3.87,2.26,1.13,0.0,1.83,2.65,13.04,,
12,Jarrett Jack,,GATECH,,31,0,31.74,3.13,6.87,0.455,0.55,1.94,0.283,2.58,4.94,0.523,0.495,2.68,3.81,0.703,0.52,3.03,3.55,5.97,1.65,0.1,3.42,2.16,9.48,,
13,Francisco García,,LOUISVILLE,,32,0,21.75,3.94,8.06,0.488,1.78,4.19,0.425,2.16,3.88,0.556,0.599,1.53,1.72,0.891,1.12,1.81,2.94,2.09,0.88,1.25,1.56,2.31,11.19,,
14,Luther Head,,ILLINOIS,,25,0,20.36,2.72,5.24,0.519,1.12,2.64,0.424,1.6,2.6,0.615,0.626,1.36,1.84,0.739,0.92,1.92,2.84,1.68,1.08,0.12,1.6,1.68,7.92,,
15,Jason Maxiell,,CINCY,,29,0,30.31,4.45,10.0,0.445,0.0,0.03,0.0,4.45,9.97,0.446,0.445,2.97,4.41,0.672,2.62,4.1,6.72,0.45,0.45,1.48,1.76,2.76,11.86,,
16,Wayne Simien,,KANSAS,,16,0,24.38,5.94,9.19,0.646,0.0,0.0,0.0,5.94,9.19,0.646,0.646,2.88,4.25,0.676,3.19,5.0,8.19,0.56,0.94,0.31,1.25,2.06,14.75,,
17,David Lee,,FLORIDA,,33,0,26.24,4.52,6.97,0.648,0.0,0.0,0.0,4.52,6.97,0.648,0.648,2.21,3.55,0.624,2.18,4.61,6.79,1.85,0.73,1.45,1.85,2.3,11.24,,
18,Salim Stoudamire,,ARIZONA,,30,0,25.8,4.17,8.8,0.473,2.37,5.33,0.444,1.8,3.47,0.519,0.608,2.33,2.7,0.864,0.27,1.37,1.63,1.8,0.6,0.07,2.07,2.17,13.03,,
19,Daniel Ewing,,DUKE,,33,0,27.88,3.82,8.88,0.43,1.27,3.18,0.4,2.55,5.7,0.447,0.502,3.06,3.73,0.821,0.67,2.48,3.15,1.36,1.27,0.15,2.03,2.42,11.97,,
20,Ronny Turiaf,,GONZAGA,,33,0,24.67,4.58,8.82,0.519,0.03,0.18,0.167,4.55,8.64,0.526,0.521,6.42,8.45,0.76,2.33,3.91,6.24,0.58,0.61,1.48,1.94,3.09,15.61,,
21,Travis Diener,,MARQUETTE,,33,0,34.7,3.76,9.48,0.396,2.09,5.76,0.363,1.67,3.73,0.447,0.506,2.24,2.76,0.813,0.39,2.79,3.18,5.58,1.42,0.15,2.15,2.0,11.85,,
22,Erazem Lorbek,,MICHIGANST,,35,0,15.46,2.49,4.66,0.534,0.34,0.74,0.462,2.14,3.91,0.547,0.571,1.06,1.63,0.649,1.06,2.23,3.29,0.57,0.63,0.54,1.09,1.66,6.37,,
23,Bracey Wright,,INDIANA,,30,0,33.57,5.23,12.1,0.433,2.2,5.87,0.375,3.03,6.23,0.487,0.523,3.53,4.7,0.752,1.4,3.63,5.03,2.13,0.77,0.6,2.1,2.0,16.2,,
24,Ryan Gomes,,PROVIDENCE,,32,0,36.0,6.66,12.41,0.537,0.0,0.09,0.0,6.66,12.31,0.541,0.537,5.09,6.06,0.84,3.31,6.41,9.72,2.06,1.72,0.78,2.44,2.19,18.41,,
25,Robert Whaley,,BARTONCCC,,29,0,27.62,7.0,14.07,0.498,0.03,0.14,0.25,6.97,13.93,0.5,0.499,2.9,5.03,0.575,0.0,7.72,7.72,1.03,0.0,0.0,0.0,0.0,16.93,,
26,Dijon Thompson,,UCLA,,28,0,29.57,5.54,11.14,0.497,1.0,2.71,0.368,4.54,8.43,0.538,0.542,1.96,2.64,0.743,1.89,2.79,4.68,2.79,1.46,0.54,2.86,2.21,14.04,,
27,Lawrence Roberts,,BAYLOR,,26,0,32.23,5.12,12.15,0.421,0.42,1.62,0.262,4.69,10.54,0.445,0.438,4.58,6.69,0.684,3.96,6.46,10.42,1.54,1.73,1.12,2.35,2.58,15.23,,
28,Alex Acker,,PEPPERDINE,,28,0,33.25,4.57,9.61,0.476,1.04,2.43,0.426,3.54,7.18,0.493,0.53,2.82,3.46,0.814,1.46,3.5,4.96,0.86,1.43,0.39,2.71,1.64,13.0,,
29,Shelden Williams,,DUKE,,33,0,19.18,2.88,5.58,0.516,0.0,0.03,0.0,2.88,5.55,0.519,0.516,2.42,3.76,0.645,2.55,3.36,5.91,0.45,0.7,1.58,1.82,3.09,8.18,,
30,Brandon Roy,,WASHINGTON,,13,0,17.23,2.31,4.62,0.5,0.08,0.77,0.1,2.23,3.85,0.58,0.508,1.38,2.85,0.486,1.23,1.69,2.92,1.0,0.31,0.23,1.38,1.23,6.08,,
31,Randy Foye,,VILLANOVA,,31,0,26.77,3.55,9.81,0.362,0.94,3.1,0.302,2.61,6.71,0.389,0.41,2.23,2.68,0.831,0.94,2.61,3.55,2.9,0.97,0.23,3.55,3.26,10.26,,
32,JJ Redick,,DUKE,,33,0,30.7,4.52,10.94,0.413,2.88,7.21,0.399,1.64,3.73,0.439,0.544,3.09,3.36,0.919,0.58,1.88,2.45,2.03,1.15,0.06,1.64,1.73,15.0,,
33,Hilton Armstrong,,UCONN,,32,0,10.81,1.12,2.06,0.545,0.0,0.0,0.0,1.12,2.06,0.545,0.545,0.5,1.0,0.5,1.06,1.75,2.81,0.69,0.25,0.75,0.94,1.91,2.75,,
34,Rodney Carney,,MEMPHIS,,30,0,25.3,3.4,7.93,0.429,1.57,4.33,0.362,1.83,3.6,0.509,0.527,1.43,2.23,0.642,1.37,3.43,4.8,1.13,0.77,1.53,1.27,2.03,9.8,,
35,Maurice Ager,,MICHIGANST,,27,0,17.15,2.22,5.56,0.4,1.07,2.7,0.397,1.15,2.85,0.403,0.497,1.15,1.48,0.775,0.41,1.85,2.26,0.63,0.19,0.44,0.89,1.74,6.67,,
36,Mardy Collins,,TEMPLE,,34,0,35.44,4.5,12.18,0.37,1.32,4.44,0.298,3.18,7.74,0.411,0.424,1.65,2.44,0.675,0.79,2.12,2.91,2.56,1.91,0.24,1.94,2.53,11.97,,
37,Steve Novak,,MARQUETTE,,33,0,15.52,2.03,4.03,0.504,1.67,3.3,0.505,0.36,0.73,0.5,0.711,0.94,1.0,0.939,0.55,1.61,2.15,0.52,0.21,0.0,0.55,1.64,6.67,,
38,Paul Davis,,MICHIGANST,,35,0,17.8,2.51,5.74,0.438,0.03,0.17,0.167,2.49,5.57,0.446,0.44,2.77,4.2,0.66,1.14,3.57,4.71,0.43,0.94,0.54,1.46,2.14,7.83,,
39,Craig Smith,,BOSTONCOLL,,31,0,31.9,7.77,12.9,0.603,0.1,0.48,0.2,7.68,12.42,0.618,0.606,4.26,6.26,0.68,3.23,4.71,7.94,1.32,0.87,0.9,2.39,3.42,19.9,,
40,Bobby Jones,,WASHINGTON,,27,0,19.04,1.78,4.41,0.403,0.15,0.74,0.2,1.63,3.67,0.444,0.42,1.96,2.56,0.768,1.59,2.52,4.11,1.04,0.78,0.44,0.85,3.7,5.67,,
41,David Noel,,UNC,,35,0,21.89,2.4,4.74,0.506,0.46,1.63,0.281,1.94,3.11,0.624,0.554,0.66,1.23,0.535,1.2,2.31,3.51,1.4,1.29,0.51,1.43,1.74,5.91,,
42,Denham Brown,,UCONN,,33,0,21.58,3.03,6.7,0.452,0.91,2.18,0.417,2.12,4.52,0.47,0.52,0.73,1.24,0.585,1.06,2.33,3.39,1.09,0.7,0.15,1.55,1.48,7.7,,
43,James Augustine,,ILLINOIS,,32,0,21.78,2.94,5.06,0.58,0.16,0.44,0.357,2.78,4.62,0.601,0.596,1.0,1.41,0.711,2.0,3.81,5.81,0.78,0.62,0.84,1.41,3.28,7.03,,
44,Dee Brown,,ILLINOIS,,32,0,34.06,4.44,10.22,0.434,1.59,4.84,0.329,2.84,5.38,0.529,0.512,1.53,2.25,0.681,1.09,2.62,3.72,4.97,1.78,0.0,1.94,1.75,12.0,,
45,Ryan Hollins,,UCLA,,24,0,16.71,1.58,2.67,0.594,0.0,0.0,0.0,1.58,2.67,0.594,0.594,1.17,2.38,0.491,1.08,2.46,3.54,0.21,0.25,0.88,1.12,1.83,4.33,,
46,Hassan Adams,,ARIZONA,,32,0,17.88,3.69,7.53,0.49,0.22,1.06,0.206,3.47,6.47,0.536,0.504,1.5,1.91,0.787,1.69,1.75,3.44,0.56,1.31,0.25,1.31,1.5,9.09,,
47,Alando Tucker,,WISCONSIN,,32,0,31.75,4.34,8.16,0.533,0.56,1.81,0.31,3.78,6.34,0.596,0.567,2.78,4.06,0.685,2.69,3.22,5.91,1.06,0.88,0.31,1.28,2.44,12.03,,
48,Derrick Byars,,VIRGINIA,,31,0,20.94,2.39,5.39,0.443,1.0,2.65,0.378,1.39,2.74,0.506,0.536,0.74,1.16,0.639,1.0,1.87,2.87,0.84,0.74,0.16,1.32,1.61,6.52,,
49,Adam Haluska,,IOWAST,,31,0,28.61,3.32,8.35,0.398,1.29,3.84,0.336,2.03,4.52,0.45,0.475,1.23,1.61,0.76,0.68,2.94,3.61,0.97,0.74,0.42,1.26,2.68,9.16,,
