Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Anthony Davis,,KENTUCKY,,40,0,32.02,5.25,8.43,0.623,0.07,0.5,0.15,5.17,7.92,0.653,0.628,3.6,5.08,0.709,2.98,7.4,10.38,1.25,1.35,4.65,1.02,1.95,14.18,,
2,Michael Kidd-Gilchrist,,KENTUCKY,,40,0,31.12,4.0,8.15,0.491,0.33,1.27,0.255,3.67,6.88,0.535,0.511,3.58,4.8,0.745,2.58,4.85,7.42,1.88,0.97,0.93,2.17,2.42,11.9,,
3,Bradley Beal,,FLORIDA,,37,0,34.24,4.73,10.62,0.445,1.7,5.03,0.339,3.03,5.59,0.541,0.525,3.59,4.68,0.769,1.35,5.38,6.73,2.24,1.38,0.84,2.14,2.05,14.76,,
4,Dion Waiters,,SYRACUSE,,37,0,24.08,4.59,9.65,0.476,1.11,3.05,0.363,3.49,6.59,0.529,0.534,2.32,3.19,0.729,0.49,1.81,2.3,2.49,1.81,0.32,1.3,1.86,12.62,,
5,Thomas Robinson,,KANSAS,,39,0,31.85,6.69,13.26,0.505,0.18,0.36,0.5,6.51,12.9,0.505,0.512,4.18,6.13,0.682,2.9,8.97,11.87,1.85,1.08,0.87,2.67,2.74,17.74,,
6,Damian Lillard,,WEBERST,,32,0,34.53,7.22,15.47,0.467,2.94,7.19,0.409,4.28,8.28,0.517,0.562,7.12,8.03,0.887,0.53,4.5,5.03,4.0,1.47,0.22,2.31,1.94,24.5,,
7,Harrison Barnes,,UNC,,38,0,29.24,6.03,13.71,0.44,1.29,3.61,0.358,4.74,10.11,0.469,0.487,3.71,5.13,0.723,1.95,3.26,5.21,1.13,1.08,0.34,1.95,1.79,17.05,,
8,Terrence Ross,,WASHINGTON,,35,0,31.09,6.14,13.43,0.457,2.06,5.54,0.371,4.09,7.89,0.518,0.534,2.06,2.69,0.766,1.37,5.06,6.43,1.4,1.26,0.94,2.0,2.83,16.4,,
9,Andre Drummond,,UCONN,,34,0,28.44,4.62,8.59,0.538,0.0,0.06,0.0,4.62,8.53,0.541,0.538,0.76,2.59,0.295,3.35,4.21,7.56,0.44,0.82,2.71,1.53,2.21,10.0,,
10,Austin Rivers,,DUKE,,34,0,33.21,5.12,11.82,0.433,1.71,4.68,0.365,3.41,7.15,0.477,0.505,3.56,5.41,0.658,0.62,2.76,3.38,2.09,0.97,0.03,2.32,2.24,15.5,,
11,Meyers Leonard,,ILLINOIS,,32,0,31.81,5.31,9.09,0.584,0.03,0.34,0.091,5.28,8.75,0.604,0.586,2.91,3.97,0.732,2.28,5.91,8.19,1.34,0.47,1.88,2.12,2.94,13.56,,
12,Jeremy Lamb,,UCONN,,34,0,37.24,6.38,13.35,0.478,2.09,6.21,0.336,4.29,7.15,0.601,0.556,2.88,3.56,0.81,0.94,3.94,4.88,1.71,1.24,0.62,2.0,1.68,17.74,,
13,Kendall Marshall,,UNC,,36,0,33.03,2.92,6.25,0.467,0.78,2.19,0.354,2.14,4.06,0.527,0.529,1.53,2.19,0.696,0.17,2.44,2.61,9.75,1.19,0.17,2.81,1.56,8.14,,
14,John Henson,,UNC,,35,0,29.11,5.86,11.71,0.5,0.0,0.0,0.0,5.86,11.71,0.5,0.5,1.97,3.86,0.511,2.54,7.4,9.94,1.26,0.57,2.89,1.29,1.57,13.69,,
15,Maurice Harkless,,STJOHNS,,32,0,36.09,6.03,13.34,0.452,0.53,2.47,0.215,5.5,10.88,0.506,0.472,2.94,4.34,0.676,2.75,5.88,8.62,1.47,1.59,1.41,2.5,2.31,15.53,,
16,Royce White,,IOWAST,,34,0,31.53,5.15,9.65,0.534,0.12,0.35,0.333,5.03,9.29,0.541,0.54,3.0,6.03,0.498,2.5,6.79,9.29,5.0,1.18,0.94,3.82,2.62,13.41,,
17,Tyler Zeller,,UNC,,38,0,28.16,5.79,10.47,0.553,0.0,0.0,0.0,5.79,10.47,0.553,0.553,4.76,5.89,0.808,3.84,5.76,9.61,0.95,0.89,1.53,1.92,2.68,16.34,,
18,Terrence Jones,,KENTUCKY,,38,0,29.34,4.66,9.32,0.5,0.42,1.29,0.327,4.24,8.03,0.528,0.523,2.61,4.16,0.627,2.53,4.63,7.16,1.34,1.29,1.79,1.63,2.39,12.34,,
19,Andrew Nicholson,,STBONNY,,32,0,30.06,6.88,12.03,0.571,0.72,1.66,0.434,6.16,10.38,0.593,0.601,4.0,5.16,0.776,2.59,5.81,8.41,1.03,0.66,1.97,2.5,2.81,18.47,,
20,Jared Sullinger,,OHIOST,,37,0,30.35,6.16,11.86,0.519,0.43,1.08,0.4,5.73,10.78,0.531,0.538,4.73,6.16,0.768,3.14,6.05,9.19,1.24,1.16,1.05,1.92,2.95,17.49,,
21,Fab Melo,,SYRACUSE,,30,0,25.43,3.27,5.77,0.566,0.0,0.0,0.0,3.27,5.77,0.566,0.566,1.27,2.0,0.633,2.67,3.17,5.83,0.7,0.5,2.93,1.43,2.83,7.8,,
22,John Jenkins,,VANDY,,35,0,33.63,6.2,13.09,0.474,3.83,8.71,0.439,2.37,4.37,0.542,0.62,3.66,4.37,0.837,0.46,2.43,2.89,1.2,0.83,0.31,1.57,1.2,19.89,,
23,Jared Cunningham,,OREGONST,,36,0,34.58,5.5,12.22,0.45,1.39,4.11,0.338,4.11,8.11,0.507,0.507,5.53,7.5,0.737,1.0,2.83,3.83,2.81,2.53,0.42,2.83,2.39,17.92,,
24,Tony Wroten,,WASHINGTON,,35,0,30.34,5.66,12.77,0.443,0.26,1.6,0.161,5.4,11.17,0.483,0.453,4.4,7.54,0.583,2.29,2.74,5.03,3.71,1.89,0.37,3.77,2.66,15.97,,
25,Miles Plumlee,,DUKE,,34,0,20.5,2.62,4.29,0.61,0.0,0.0,0.0,2.62,4.29,0.61,0.61,1.41,2.24,0.632,2.91,4.21,7.12,0.53,0.53,0.94,1.24,2.29,6.65,,
