Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Anthony Bennett,,UNLV,,35,0,27.14,5.77,10.83,0.533,1.03,2.74,0.375,4.74,8.09,0.587,0.58,3.54,5.06,0.701,2.46,5.69,8.14,0.97,0.69,1.23,1.86,2.29,16.11,,
2,Victor Oladipo,,INDIANA,,36,0,28.36,5.06,8.44,0.599,0.83,1.89,0.441,4.22,6.56,0.644,0.648,2.69,3.61,0.746,2.58,3.72,6.31,2.06,2.17,0.78,2.31,2.47,13.64,,
3,Otto Porter Jr.,,GEORGETOWN,,31,0,35.39,5.42,11.29,0.48,1.39,3.29,0.422,4.03,8.0,0.504,0.541,3.94,5.06,0.777,1.77,5.71,7.48,2.71,1.84,0.9,1.52,1.97,16.16,,
4,Cody Zeller,,INDIANA,,36,0,29.5,5.53,9.81,0.564,0.0,0.06,0.0,5.53,9.75,0.567,0.564,5.44,7.19,0.757,2.81,5.22,8.03,1.31,1.03,1.25,2.25,2.22,16.5,,
5,Alex Len,,MARYLAND,,38,0,26.42,4.55,8.53,0.534,0.03,0.21,0.125,4.53,8.32,0.544,0.535,2.76,4.03,0.686,2.87,4.97,7.84,0.97,0.21,2.05,1.58,2.66,11.89,,
6,Nerlens Noel,,KENTUCKY,,24,0,31.88,4.08,6.92,0.59,0.0,0.0,0.0,4.08,6.92,0.59,0.59,2.29,4.33,0.529,2.71,6.75,9.46,1.58,2.08,4.42,1.88,2.58,10.46,,
7,Ben McLemore,,KANSAS,,37,0,32.19,5.35,10.81,0.495,1.97,4.7,0.42,3.38,6.11,0.553,0.586,3.24,3.73,0.87,1.27,3.92,5.19,1.97,1.0,0.68,2.08,1.86,15.92,,
8,Kentavious Caldwell-Pope,,GEORGIA,,32,0,33.94,5.81,13.44,0.433,2.62,7.03,0.373,3.19,6.41,0.498,0.53,4.22,5.28,0.799,1.16,5.91,7.06,1.81,2.03,0.53,2.0,2.19,18.47,,
9,Trey Burke,,MICHIGAN,,39,0,35.33,6.64,14.36,0.463,1.95,5.08,0.384,4.69,9.28,0.506,0.53,3.41,4.26,0.801,0.54,2.64,3.18,6.67,1.59,0.51,2.21,1.87,18.64,,
10,CJ McCollum,,LEHIGH,,12,0,31.0,8.0,16.17,0.495,2.75,5.33,0.516,5.25,10.83,0.485,0.58,5.17,6.08,0.849,1.0,4.0,5.0,2.92,1.42,0.33,2.67,1.75,23.92,,
11,Michael Carter-Williams,,SYRACUSE,,40,0,35.23,3.88,9.85,0.393,0.88,2.98,0.294,3.0,6.88,0.436,0.438,3.23,4.65,0.694,1.27,3.7,4.97,7.28,2.73,0.5,3.45,2.3,11.85,,
12,Steven Adams,,PITT,,32,0,23.41,3.12,5.47,0.571,0.0,0.0,0.0,3.12,5.47,0.571,0.571,0.97,2.19,0.443,2.81,3.53,6.34,0.62,0.66,2.03,1.09,1.62,7.22,,
13,Kelly Olynyk,,GONZAGA,,32,0,26.41,6.72,10.69,0.629,0.28,0.94,0.3,6.44,9.75,0.66,0.642,4.12,5.31,0.776,2.41,4.94,7.34,1.72,0.69,1.12,2.41,2.25,17.84,,
14,Shabazz Muhammad,,UCLA,,32,0,30.84,6.31,14.25,0.443,1.25,3.31,0.377,5.06,10.94,0.463,0.487,4.0,5.62,0.711,2.72,2.5,5.22,0.84,0.72,0.12,1.59,1.66,17.88,,
15,Shane Larkin,,MIAMIFL,,36,0,36.42,5.08,10.61,0.479,1.92,4.72,0.406,3.17,5.89,0.538,0.569,2.42,3.11,0.777,0.47,3.36,3.83,4.56,1.97,0.11,2.28,1.64,14.5,,
16,Tony Snell,,NMEXICO,,35,0,31.23,4.11,9.74,0.422,1.83,4.69,0.39,2.29,5.06,0.452,0.516,2.46,2.91,0.843,0.4,2.23,2.63,2.89,0.83,0.49,2.06,1.31,12.51,,
17,Gorgui Dieng,,LOUISVILLE,,33,0,31.09,3.79,7.09,0.534,0.0,0.0,0.0,3.79,7.09,0.534,0.534,2.21,3.39,0.652,3.42,5.97,9.39,2.0,1.33,2.52,1.79,2.58,9.79,,
18,Mason Plumlee,,DUKE,,36,0,34.67,6.14,10.25,0.599,0.0,0.0,0.0,6.14,10.25,0.599,0.599,4.81,7.06,0.681,2.72,7.22,9.94,1.94,1.0,1.44,2.86,2.56,17.08,,
19,Solomon Hill,,ARIZONA,,35,0,32.97,4.51,9.86,0.458,1.63,4.17,0.39,2.89,5.69,0.508,0.541,2.71,3.54,0.766,1.74,3.6,5.34,2.71,1.14,0.57,2.2,2.17,13.37,,
20,Tim Hardaway Jr.,,MICHIGAN,,38,0,34.84,5.29,12.11,0.437,1.92,5.13,0.374,3.37,6.97,0.483,0.516,2.03,2.92,0.694,0.24,4.42,4.66,2.45,0.68,0.45,1.87,1.92,14.53,,
21,Reggie Bullock,,UNC,,35,0,31.43,4.91,10.17,0.483,2.51,5.77,0.436,2.4,4.4,0.545,0.607,1.6,2.09,0.767,2.03,4.43,6.46,2.89,1.26,0.29,1.23,1.43,13.94,,
22,Andre Roberson,,COLORADO,,31,0,33.42,4.26,8.87,0.48,0.61,1.87,0.328,3.65,7.0,0.521,0.515,1.74,3.16,0.551,2.97,8.23,11.19,1.42,2.16,1.32,2.39,2.48,10.87,,
23,Archie Goodwin,,KENTUCKY,,33,0,31.76,4.76,10.82,0.44,0.52,1.94,0.266,4.24,8.88,0.478,0.464,4.09,6.42,0.637,1.45,3.15,4.61,2.67,1.09,0.45,3.06,2.94,14.12,,
24,Allen Crabbe,,CALIFORNIA,,33,0,36.21,6.52,14.18,0.459,1.94,5.58,0.348,4.58,8.61,0.532,0.528,3.42,4.21,0.813,1.0,5.06,6.06,2.64,1.12,0.7,2.52,2.09,18.39,,
25,Carrick Felix,,ARIZONAST,,35,0,35.29,5.4,10.8,0.5,1.49,3.97,0.374,3.91,6.83,0.573,0.569,2.31,3.49,0.664,2.09,6.06,8.14,1.63,1.43,1.11,2.0,3.0,14.6,,
