Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Derrick Rose,,MEMPHIS,,40,0,29.2,5.2,10.9,0.477,0.88,2.6,0.337,4.33,8.3,0.521,0.517,3.65,5.12,0.712,1.35,3.17,4.53,4.72,1.2,0.38,2.67,1.7,14.93,,
2,Michael Beasley,,KANSASST,,33,0,31.55,9.3,17.48,0.532,1.09,2.88,0.379,8.21,14.61,0.562,0.563,6.55,8.45,0.774,3.97,8.39,12.36,1.15,1.27,1.64,2.88,2.58,26.24,,
3,O.J. Mayo,,USC,,33,0,36.85,7.18,16.24,0.442,2.67,6.52,0.409,4.52,9.73,0.464,0.524,3.7,4.61,0.803,1.06,3.48,4.55,3.3,1.55,0.39,3.55,2.42,20.73,,
4,Russell Westbrook,,UCLA,,39,0,33.79,4.67,10.03,0.465,0.67,1.97,0.338,4.0,8.05,0.497,0.499,2.74,3.85,0.713,1.56,2.36,3.92,4.28,1.62,0.18,2.46,2.38,12.74,,
5,Kevin Love,,UCLA,,39,0,29.64,5.82,10.41,0.559,0.74,2.1,0.354,5.08,8.31,0.611,0.595,5.08,6.62,0.767,3.64,7.0,10.64,1.92,0.69,1.44,2.0,1.87,17.46,,
6,Eric Gordon,,INDIANA,,32,0,34.69,5.75,13.28,0.433,2.19,6.5,0.337,3.56,6.78,0.525,0.515,7.22,8.66,0.834,0.72,2.53,3.25,2.44,1.31,0.62,3.59,2.16,20.91,,
7,Joe Alexander,,WVIRGINIA,,36,0,31.58,6.08,13.17,0.462,0.31,1.14,0.268,5.78,12.03,0.48,0.474,4.39,5.39,0.814,1.89,4.53,6.42,2.44,0.72,1.5,2.22,2.86,16.86,,
8,D.J. Augustin,,TEXAS,,38,0,37.29,6.37,14.5,0.439,1.95,5.11,0.381,4.42,9.39,0.471,0.506,4.55,5.82,0.783,0.53,2.42,2.95,5.76,1.24,0.0,2.76,1.61,19.24,,
9,Brook Lopez,,STANFORD,,27,0,30.78,6.81,14.56,0.468,0.0,0.22,0.0,6.81,14.33,0.475,0.468,5.67,7.19,0.789,2.85,5.33,8.19,1.37,0.59,2.07,2.15,2.44,19.3,,
10,Jerryd Bayless,,ARIZONA,,30,0,35.73,5.77,12.6,0.458,1.97,4.83,0.407,3.8,7.77,0.489,0.536,6.23,7.43,0.839,0.43,2.3,2.73,4.03,0.97,0.1,2.97,2.2,19.73,,
