Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Greg Oden,,OHIOST,,32,0,28.91,5.91,9.59,0.616,0.0,0.0,0.0,5.91,9.59,0.616,0.616,3.84,6.12,0.628,3.53,6.03,9.56,0.66,0.56,3.28,2.0,2.72,15.66,,
2,Kevin Durant,,TEXAS,,35,0,35.86,8.74,18.49,0.473,2.34,5.8,0.404,6.4,12.69,0.505,0.536,5.97,7.31,0.816,3.03,8.11,11.14,1.31,1.89,1.91,2.83,2.03,25.8,,
3,Al Horford,,FLORIDA,,38,0,27.84,4.89,8.05,0.608,0.0,0.05,0.0,4.89,8.0,0.612,0.608,3.42,5.32,0.644,2.53,6.95,9.47,2.16,0.74,1.84,1.79,2.47,13.21,,
4,Mike Conley,,OHIOST,,39,0,31.56,4.1,7.92,0.518,0.54,1.77,0.304,3.56,6.15,0.579,0.552,2.56,3.69,0.694,0.69,2.74,3.44,6.1,2.23,0.26,2.21,1.54,11.31,,
5,Jeff Green,,GEORGETOWN,,37,0,33.3,5.3,10.32,0.513,0.97,2.59,0.375,4.32,7.73,0.559,0.56,2.7,3.49,0.775,1.68,4.7,6.38,3.16,0.81,1.16,2.59,2.49,14.27,,
6,Corey Brewer,,FLORIDA,,37,0,28.97,4.57,9.62,0.475,1.08,3.22,0.336,3.49,6.41,0.544,0.531,3.03,4.19,0.723,1.08,3.59,4.68,2.95,1.86,0.41,2.51,1.95,13.24,,
7,Brandan Wright,,UNC,,37,0,27.38,6.16,9.54,0.646,0.0,0.0,0.0,6.16,9.54,0.646,0.646,2.41,4.24,0.567,2.08,4.11,6.19,1.0,0.97,1.76,1.59,1.49,14.73,,
8,Joakim Noah,,FLORIDA,,40,0,25.85,4.33,7.12,0.607,0.03,0.03,1.0,4.3,7.1,0.606,0.609,3.3,4.97,0.663,2.55,5.88,8.43,2.25,1.12,1.8,2.5,2.25,11.97,,
9,Spencer Hawes,,WASHINGTON,,31,0,28.9,6.23,11.71,0.532,0.03,0.1,0.333,6.19,11.61,0.533,0.533,2.39,3.16,0.755,1.97,4.39,6.35,1.94,0.52,1.74,2.52,2.26,14.87,,
10,Acie Law,,TEXASAM,,34,0,33.91,6.35,12.71,0.5,1.12,2.44,0.458,5.24,10.26,0.51,0.544,4.24,5.44,0.778,0.24,3.09,3.32,4.97,1.15,0.03,2.59,2.44,18.06,,
11,Thaddeus Young,,GATECH,,31,0,29.58,5.71,11.94,0.478,1.26,3.0,0.419,4.45,8.94,0.498,0.531,1.68,2.26,0.743,2.32,2.55,4.87,2.03,1.26,0.39,2.16,1.97,14.35,,
12,Julian Wright,,KANSAS,,38,0,27.58,5.0,9.11,0.549,0.08,0.34,0.231,4.92,8.76,0.562,0.553,1.92,3.13,0.613,2.53,5.32,7.84,2.16,1.45,1.29,2.39,2.47,12.0,,
13,Al Thornton,,FLORIDAST,,35,0,31.2,6.97,13.14,0.53,1.03,2.31,0.444,5.94,10.83,0.549,0.57,4.74,6.0,0.79,3.03,4.14,7.17,0.69,1.51,1.14,2.49,2.71,19.71,,
14,Rodney Stuckey,,EWASHINGTN,,29,0,33.28,7.83,17.28,0.453,1.48,5.55,0.267,6.34,11.72,0.541,0.496,7.41,8.76,0.846,1.21,3.45,4.66,5.52,2.45,0.31,3.38,2.34,24.55,,
15,Nick Young,,USC,,37,0,33.16,6.46,12.3,0.525,1.19,2.7,0.44,5.27,9.59,0.549,0.574,3.38,4.3,0.786,1.19,3.43,4.62,1.35,0.73,0.27,2.43,2.49,17.49,,
16,Sean Williams,,BOSTONCOLL,,15,0,32.2,4.2,7.67,0.548,0.0,0.0,0.0,4.2,7.67,0.548,0.548,3.73,5.33,0.7,2.4,4.53,6.93,1.2,1.4,5.0,2.33,3.2,12.13,,
17,Javaris Crittenton,,GATECH,,32,0,31.34,4.94,10.97,0.45,1.12,3.16,0.356,3.81,7.81,0.488,0.501,3.38,4.31,0.783,0.88,2.84,3.72,5.75,2.03,0.06,3.88,2.09,14.38,,
18,Jason Smith,,COLORADOST,,30,0,30.17,5.83,10.07,0.579,0.0,0.1,0.0,5.83,9.97,0.585,0.579,5.13,6.67,0.77,3.27,6.87,10.13,1.93,0.53,1.57,3.4,3.13,16.8,,
19,Daequan Cook,,OHIOST,,39,0,19.74,3.62,8.13,0.445,1.38,3.33,0.415,2.23,4.79,0.465,0.53,1.18,1.69,0.697,0.72,3.56,4.28,1.03,0.72,0.26,1.44,1.69,9.79,,
20,Jared Dudley,,BOSTONCOLL,,30,0,38.4,6.5,11.57,0.562,1.3,2.93,0.443,5.2,8.63,0.602,0.618,4.73,6.37,0.743,3.03,5.23,8.27,3.0,1.4,0.33,2.6,2.2,19.03,,
21,Wilson Chandler,,DEPAUL,,34,0,31.74,5.71,12.68,0.45,1.15,3.44,0.333,4.56,9.24,0.494,0.495,2.06,3.15,0.654,1.85,5.06,6.91,1.41,0.65,1.38,1.62,2.82,14.62,,
22,Morris Almond,,RICE,,32,0,33.41,8.22,17.0,0.483,2.41,5.28,0.456,5.81,11.72,0.496,0.554,7.53,8.91,0.846,1.34,5.22,6.56,1.16,1.19,0.75,3.41,2.12,26.38,,
23,Aaron Brooks,,OREGON,,35,0,36.83,6.09,13.23,0.46,2.29,5.66,0.404,3.8,7.57,0.502,0.546,3.29,3.89,0.846,0.89,3.37,4.26,4.26,1.37,0.17,2.54,2.51,17.74,,
24,Arron Afflalo,,UCLA,,36,0,32.94,5.83,12.67,0.461,2.42,6.44,0.375,3.42,6.22,0.549,0.556,2.81,3.5,0.802,0.42,2.33,2.75,1.94,0.61,0.22,1.78,1.83,16.89,,
25,Alando Tucker,,WISCONSIN,,36,0,32.81,7.11,15.14,0.47,1.11,3.42,0.325,6.0,11.72,0.512,0.506,4.56,6.92,0.659,2.17,3.28,5.44,2.03,0.92,0.28,1.67,1.25,19.89,,
26,Carl Landry,,PURDUE,,34,0,30.44,6.44,10.79,0.597,0.12,0.56,0.211,6.32,10.24,0.618,0.602,5.91,8.15,0.726,2.97,4.35,7.32,1.24,1.18,0.94,3.0,2.91,18.91,,
27,Gabe Pruitt,,USC,,26,0,33.12,4.0,9.62,0.416,1.85,5.27,0.35,2.15,4.35,0.496,0.512,2.62,3.27,0.8,0.58,2.23,2.81,4.35,1.81,0.27,1.85,2.15,12.46,,
28,Marcus Williams,,ARIZONA,,30,0,32.9,6.53,13.23,0.494,0.77,2.67,0.287,5.77,10.57,0.546,0.523,2.73,3.93,0.695,2.1,4.57,6.67,2.23,1.1,0.77,2.67,2.2,16.57,,
29,Nick Fazekas,,NEVADA,,32,0,30.28,7.75,13.66,0.568,0.88,2.03,0.431,6.88,11.62,0.591,0.6,4.0,4.72,0.848,2.97,8.09,11.06,1.75,0.75,1.5,2.0,2.31,20.38,,
30,Glen Davis,,LSU,,29,0,35.03,6.14,12.69,0.484,0.59,1.69,0.347,5.55,11.0,0.505,0.507,4.79,6.72,0.713,3.9,6.55,10.45,2.28,1.1,0.97,2.83,2.31,17.66,,
31,Jermareo Davidson,,ALABAMA,,30,0,32.27,4.97,12.2,0.407,0.13,0.53,0.25,4.83,11.67,0.414,0.413,3.9,5.03,0.775,2.1,6.13,8.23,1.47,0.77,2.33,1.67,1.8,13.97,,
32,Josh McRoberts,,DUKE,,33,0,35.27,4.97,9.91,0.502,0.15,0.7,0.217,4.82,9.21,0.523,0.509,2.94,4.42,0.664,2.09,5.79,7.88,3.45,1.18,2.48,2.42,2.52,13.03,,
33,Chris Richard,,FLORIDA,,40,0,18.15,2.45,3.55,0.69,0.0,0.0,0.0,2.45,3.55,0.69,0.69,1.3,2.08,0.627,1.57,2.1,3.67,0.42,0.33,0.3,1.18,2.3,6.2,,
34,Derrick Byars,,VANDY,,34,0,31.41,6.06,13.26,0.457,2.32,6.24,0.373,3.74,7.03,0.531,0.544,2.53,3.56,0.711,1.53,3.32,4.85,3.41,1.41,0.12,2.35,2.38,16.97,,
35,Adam Haluska,,IOWA,,31,0,34.52,6.13,15.03,0.408,2.9,8.0,0.363,3.23,7.03,0.459,0.504,5.39,6.19,0.87,0.87,3.77,4.65,2.58,1.35,0.26,1.71,1.74,20.55,,
36,Reyshawn Terry,,UNC,,38,0,21.5,3.42,6.92,0.494,1.18,2.71,0.437,2.24,4.21,0.531,0.58,1.71,2.32,0.739,1.24,4.13,5.37,1.66,0.71,0.63,1.82,2.24,9.74,,
37,Jared Jordan,,MARIST,,33,0,37.94,5.97,14.06,0.425,1.7,5.7,0.298,4.27,8.36,0.511,0.485,3.52,5.09,0.69,1.39,4.48,5.88,8.67,1.36,0.06,3.33,1.64,17.15,,
38,Stéphane Lasme,,UMASS,,33,0,30.61,5.0,8.18,0.611,0.0,0.0,0.0,5.0,8.18,0.611,0.611,3.55,5.7,0.622,3.82,5.73,9.55,0.85,0.88,5.09,2.39,3.36,13.55,,
39,Dominic McGuire,,FRESNOST,,32,0,32.94,4.78,10.16,0.471,0.62,2.09,0.299,4.16,8.06,0.516,0.502,3.31,5.66,0.586,2.19,7.62,9.81,3.25,0.88,3.56,3.72,2.84,13.5,,
40,Aaron Gray,,PITT,,36,0,28.22,5.67,10.03,0.565,0.0,0.0,0.0,5.67,10.03,0.565,0.565,2.53,4.61,0.548,3.33,6.14,9.47,1.69,0.42,1.72,1.53,2.53,13.86,,
41,JamesOn Curry,,OKSTATE,,35,0,37.0,5.77,12.77,0.452,2.51,6.11,0.411,3.26,6.66,0.489,0.55,3.29,4.14,0.793,0.43,2.74,3.17,3.74,1.17,0.31,3.11,2.11,17.34,,
42,Taurean Green,,FLORIDA,,40,0,33.2,3.85,8.68,0.444,2.05,5.05,0.406,1.8,3.62,0.497,0.562,3.52,4.15,0.849,0.23,2.17,2.4,3.67,1.05,0.03,2.67,1.5,13.28,,
43,Demetris Nichols,,SYRACUSE,,35,0,34.77,6.43,14.37,0.447,2.86,6.86,0.417,3.57,7.51,0.475,0.547,3.23,3.8,0.85,1.43,4.0,5.43,1.54,1.4,1.06,2.2,2.09,18.94,,
44,Herbert Hill,,PROVIDENCE,,31,0,31.94,7.74,12.1,0.64,0.0,0.03,0.0,7.74,12.06,0.642,0.64,2.58,4.29,0.602,3.26,5.58,8.84,1.45,0.97,2.94,2.87,2.9,18.06,,
45,Ramon Sessions,,NEVADA,,34,0,30.24,4.12,9.12,0.452,0.56,1.47,0.38,3.56,7.65,0.465,0.482,3.47,4.21,0.825,1.12,3.62,4.74,4.68,0.85,0.21,2.5,1.21,12.26,,
