Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Zion Williamson,,DUKE,,33,0,30.0,8.97,13.18,0.68,0.73,2.15,0.338,8.24,11.03,0.747,0.708,3.94,6.15,0.64,3.52,5.36,8.88,2.06,2.12,1.79,2.36,2.06,22.61,,
2,Ja Morant,,MURRAYST,,33,0,36.58,8.03,16.09,0.499,1.73,4.76,0.363,6.3,11.33,0.556,0.553,6.7,8.24,0.812,1.21,4.48,5.7,10.03,1.76,0.82,5.15,1.45,24.48,,
3,RJ Barrett,,DUKE,,38,0,35.29,8.39,18.47,0.454,1.92,6.24,0.308,6.47,12.24,0.529,0.506,3.92,5.89,0.665,1.55,6.03,7.58,4.32,0.89,0.42,3.24,1.84,22.63,,
4,De'Andre Hunter,,VIRGINIA,,38,0,32.47,5.39,10.37,0.52,1.21,2.76,0.438,4.18,7.61,0.55,0.579,3.24,4.13,0.783,1.37,3.71,5.08,1.97,0.58,0.58,1.37,2.0,15.24,,
5,Darius Garland,,VANDY,,5,0,27.8,5.8,10.8,0.537,2.2,4.6,0.478,3.6,6.2,0.581,0.639,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,,
6,Jarrett Culver,,TXTECH,,38,0,32.47,6.68,14.5,0.461,1.29,4.24,0.304,5.39,10.26,0.526,0.505,3.87,5.47,0.707,1.42,4.97,6.39,3.74,1.5,0.55,2.71,1.92,18.53,,
7,Coby White,,UNC,,35,0,28.54,5.37,12.69,0.423,2.34,6.63,0.353,3.03,6.06,0.5,0.516,2.97,3.71,0.8,0.34,3.2,3.54,4.09,1.09,0.31,2.66,1.94,16.06,,
8,Jaxson Hayes,,TEXAS,,32,0,23.34,3.84,5.28,0.728,0.0,0.0,0.0,3.84,5.28,0.728,0.728,2.31,3.12,0.74,1.75,3.25,5.0,0.28,0.59,2.22,0.91,3.34,10.0,,
9,Rui Hachimura,,GONZAGA,,37,0,30.19,7.43,12.57,0.591,0.41,0.97,0.417,7.03,11.59,0.606,0.608,4.43,6.0,0.739,1.41,5.08,6.49,1.51,0.95,0.73,1.84,2.0,19.7,,
10,Cam Reddish,,DUKE,,36,0,29.69,4.28,12.0,0.356,2.47,7.42,0.333,1.81,4.58,0.394,0.459,2.44,3.17,0.772,0.56,3.14,3.69,1.94,1.56,0.58,2.67,2.39,13.47,,
11,Cameron Johnson,,UNC,,36,0,29.89,5.86,11.58,0.506,2.67,5.83,0.457,3.19,5.75,0.556,0.621,2.5,3.06,0.818,1.83,3.94,5.78,2.39,1.19,0.28,1.5,1.47,16.89,,
12,P.J. Washington,,KENTUCKY,,35,0,29.26,5.43,10.4,0.522,0.94,2.23,0.423,4.49,8.17,0.549,0.567,3.37,5.09,0.663,2.31,5.23,7.54,1.8,0.83,1.23,1.97,2.46,15.17,,
13,Tyler Herro,,KENTUCKY,,37,0,32.62,5.03,10.89,0.462,1.62,4.57,0.355,3.41,6.32,0.538,0.536,2.35,2.51,0.935,0.41,4.08,4.49,2.46,1.08,0.32,1.62,1.27,14.03,,
