Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Kyrie Irving,,DUKE,,11,0,27.55,5.0,9.45,0.529,1.64,3.55,0.462,3.36,5.91,0.569,0.615,5.82,6.45,0.901,0.55,2.82,3.36,4.27,1.45,0.55,2.45,2.09,17.45,,
2,Derrick Williams,,ARIZONA,,38,0,30.03,5.95,10.0,0.595,1.11,1.95,0.568,4.84,8.05,0.601,0.65,6.5,8.71,0.746,2.76,5.5,8.26,1.13,0.97,0.68,2.63,2.79,19.5,,
3,Tristan Thompson,,TEXAS,,36,0,30.67,4.78,8.75,0.546,0.0,0.0,0.0,4.78,8.75,0.546,0.546,3.53,7.25,0.487,3.83,4.0,7.83,1.25,0.94,2.39,1.78,2.78,13.08,,
4,Brandon Knight,,KENTUCKY,,38,0,35.87,5.71,13.5,0.423,2.29,6.08,0.377,3.42,7.42,0.461,0.508,3.58,4.5,0.795,0.66,3.37,4.03,4.18,0.66,0.21,3.16,2.18,17.29,,
5,Kemba Walker,,UCONN,,41,0,37.63,7.71,18.02,0.428,1.83,5.54,0.33,5.88,12.49,0.471,0.478,6.29,7.68,0.819,1.29,4.15,5.44,4.49,1.88,0.17,2.27,1.37,23.54,,
6,Jimmer Fredette,,BYU,,37,0,35.76,9.35,20.68,0.452,3.35,8.46,0.396,6.0,12.22,0.491,0.533,6.81,7.62,0.894,0.65,2.78,3.43,4.32,1.32,0.03,3.54,1.32,28.86,,
7,Klay Thompson,,WASHST,,34,0,34.68,7.06,16.21,0.436,2.88,7.24,0.398,4.18,8.97,0.466,0.525,4.56,5.44,0.838,0.74,4.5,5.24,3.74,1.65,0.94,3.38,2.91,21.56,,
8,Alec Burks,,COLORADO,,38,0,31.39,6.61,14.08,0.469,0.74,2.53,0.292,5.87,11.55,0.508,0.495,6.55,7.95,0.825,2.39,4.11,6.5,2.95,1.08,0.32,2.61,2.34,20.5,,
9,Markieff Morris,,KANSAS,,38,0,24.37,5.13,8.71,0.589,0.66,1.55,0.424,4.47,7.16,0.625,0.627,2.71,4.03,0.673,2.71,5.61,8.32,1.39,0.79,1.13,2.05,2.84,13.63,,
10,Marcus Morris,,KANSAS,,38,0,28.32,6.32,11.08,0.57,0.68,2.0,0.342,5.63,9.08,0.62,0.601,3.89,5.66,0.688,2.61,5.03,7.63,1.63,0.84,0.63,1.76,2.55,17.21,,
11,Kawhi Leonard,,SANDIEGOST,,36,0,32.56,5.86,13.19,0.444,0.69,2.39,0.291,5.17,10.81,0.478,0.471,3.06,4.03,0.759,3.08,7.47,10.56,2.53,1.42,0.58,2.11,2.47,15.47,,
