Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Andrew Bogut,,UTAH,,33,0,30.36,5.09,8.82,0.577,0.12,0.33,0.364,4.97,8.48,0.586,0.584,2.15,3.36,0.64,3.21,6.67,9.88,2.21,0.42,1.33,2.64,2.42,12.45,,
2,Deron Williams,,ILLINOIS,,30,0,33.9,4.9,12.0,0.408,2.23,5.67,0.394,2.67,6.33,0.421,0.501,1.97,2.5,0.787,0.47,2.77,3.23,6.17,1.03,0.3,2.5,2.27,14.0,,
3,Chris Paul,,WAKE,,31,0,33.58,4.35,8.77,0.496,1.29,2.77,0.465,3.06,6.0,0.511,0.57,4.84,5.74,0.843,0.68,2.58,3.26,5.9,2.71,0.39,2.65,2.61,14.84,,
4,Raymond Felton,,UNC,,30,0,34.63,3.77,8.97,0.42,1.17,3.73,0.312,2.6,5.23,0.497,0.485,2.83,3.5,0.81,0.57,3.4,3.97,7.1,2.13,0.23,3.4,2.33,11.53,,
5,Charlie Villanueva,,UCONN,,32,0,18.97,3.53,6.88,0.514,0.56,1.53,0.367,2.97,5.34,0.556,0.555,1.31,1.97,0.667,1.75,3.5,5.25,0.72,0.19,1.5,1.22,2.25,8.94,,
6,Channing Frye,,ARIZONA,,30,0,30.33,6.43,11.73,0.548,0.1,0.17,0.6,6.33,11.57,0.548,0.553,2.97,3.77,0.788,2.97,4.43,7.4,1.87,0.57,2.1,1.63,2.97,15.93,,
7,Ike Diogu,,ARIZONAST,,27,0,36.89,6.63,12.52,0.53,0.52,1.37,0.378,6.11,11.15,0.548,0.55,9.0,11.04,0.815,3.33,5.59,8.93,1.63,0.48,1.74,3.67,2.89,22.78,,
8,Sean May,,UNC,,29,0,28.93,5.62,12.14,0.463,0.0,0.14,0.0,5.62,12.0,0.468,0.463,3.97,5.76,0.689,3.45,6.38,9.83,1.38,1.38,1.24,2.38,2.62,15.21,,
9,Rashad McCants,,UNC,,30,0,32.03,7.2,15.03,0.479,2.6,6.37,0.408,4.6,8.67,0.531,0.565,2.97,3.97,0.748,2.07,2.5,4.57,2.17,1.77,0.67,2.53,2.07,19.97,,
10,Antoine Wright,,TEXASAM,,28,0,30.43,4.64,12.61,0.368,1.68,5.64,0.297,2.96,6.96,0.426,0.435,2.57,4.11,0.626,1.32,2.82,4.14,2.32,0.86,0.29,2.14,2.43,13.54,,
11,Joey Graham,,OKSTATE,,35,0,24.69,4.89,8.49,0.576,0.4,0.83,0.483,4.49,7.66,0.586,0.599,2.23,3.14,0.709,1.74,3.49,5.23,1.14,0.66,0.17,2.11,3.09,12.4,,
12,Danny Granger,,NMEXICO,,22,0,31.95,6.18,12.59,0.491,1.09,3.27,0.333,5.09,9.32,0.546,0.534,6.05,7.95,0.76,2.64,6.32,8.95,2.09,1.32,1.41,2.68,3.14,19.5,,
13,Hakim Warrick,,SYRACUSE,,31,0,37.29,7.16,14.0,0.512,0.0,0.19,0.0,7.16,13.81,0.519,0.512,5.52,7.97,0.692,3.16,5.42,8.58,2.65,0.94,1.13,3.06,2.71,19.84,,
14,Julius Hodge,,NCSTATE,,31,0,34.87,6.1,12.03,0.507,0.84,2.32,0.361,5.26,9.71,0.542,0.542,5.13,6.19,0.828,1.77,4.61,6.39,3.61,1.39,0.81,3.06,2.65,18.16,,
15,Nate Robinson,,WASHINGTON,,31,0,26.87,4.45,9.97,0.447,1.48,4.19,0.354,2.97,5.77,0.514,0.521,2.81,3.29,0.853,1.68,2.23,3.9,2.71,1.71,0.1,1.97,2.42,13.19,,
16,Jarrett Jack,,GATECH,,38,0,31.18,3.82,8.37,0.456,0.79,2.5,0.316,3.03,5.87,0.516,0.503,4.05,5.05,0.802,0.5,4.37,4.87,5.61,1.95,0.13,3.05,2.13,12.47,,
17,Francisco García,,LOUISVILLE,,28,0,30.36,5.32,12.32,0.432,1.86,5.71,0.325,3.46,6.61,0.524,0.507,3.93,4.93,0.797,1.14,3.39,4.54,4.68,1.86,1.36,2.82,2.75,16.43,,
18,Luther Head,,ILLINOIS,,29,0,29.76,3.69,8.24,0.448,1.69,4.93,0.343,2.0,3.31,0.604,0.55,1.93,2.48,0.778,0.86,2.93,3.79,2.59,1.03,0.21,1.55,1.62,11.0,,
19,Jason Maxiell,,CINCY,,32,0,28.59,4.75,9.5,0.5,0.0,0.03,0.0,4.75,9.47,0.502,0.5,4.06,5.97,0.681,2.94,4.0,6.94,1.34,0.66,2.06,1.5,2.44,13.56,,
20,Linas Kleiza,,MISSOURI,,16,0,23.12,4.0,9.12,0.438,0.5,1.44,0.348,3.5,7.69,0.455,0.466,2.56,4.12,0.621,3.19,5.25,8.44,0.81,0.44,0.31,1.69,3.19,11.06,,
21,Wayne Simien,,KANSAS,,32,0,32.66,6.25,11.75,0.532,0.06,0.34,0.182,6.19,11.41,0.542,0.535,5.22,6.44,0.811,3.06,6.22,9.28,1.22,0.88,0.94,2.22,2.81,17.78,,
22,David Lee,,FLORIDA,,31,0,27.45,4.84,8.23,0.588,0.0,0.06,0.0,4.84,8.16,0.593,0.588,3.61,4.68,0.772,2.23,4.61,6.84,2.84,1.13,0.52,2.06,2.68,13.29,,
23,Salim Stoudamire,,ARIZONA,,29,0,31.97,5.21,11.52,0.452,2.69,6.48,0.415,2.52,5.03,0.5,0.569,3.21,4.03,0.795,0.55,2.17,2.72,2.97,0.83,0.07,2.1,2.38,16.31,,
24,Daniel Ewing,,DUKE,,37,0,30.57,4.08,9.78,0.417,2.0,4.86,0.411,2.08,4.92,0.423,0.519,2.49,3.35,0.742,0.97,1.62,2.59,1.86,1.41,0.14,1.73,2.89,12.65,,
25,Brandon Bass,,LSU,,29,0,34.93,4.17,8.28,0.504,0.17,0.66,0.263,4.0,7.62,0.525,0.515,4.24,5.41,0.783,2.45,4.93,7.38,0.59,0.72,1.93,1.9,2.03,12.76,,
