Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Blake Griffin,,OKLAHOMA,,35,0,33.29,8.57,13.11,0.654,0.09,0.23,0.375,8.49,12.89,0.659,0.657,5.46,9.26,0.59,3.86,10.54,14.4,2.29,1.11,1.17,3.31,2.54,22.69,,
2,Hasheem Thabeet,,UCONN,,36,0,31.81,4.94,7.72,0.64,0.0,0.0,0.0,4.94,7.72,0.64,0.64,3.69,5.89,0.627,3.69,7.08,10.78,0.47,0.61,4.22,1.89,2.5,13.58,,
3,James Harden,,ARIZONAST,,35,0,35.83,6.31,12.91,0.489,1.66,4.66,0.356,4.66,8.26,0.564,0.553,5.83,7.71,0.756,1.37,4.2,5.57,4.23,1.69,0.31,3.37,2.83,20.11,,
4,Tyreke Evans,,MEMPHIS,,37,0,28.97,6.22,13.65,0.455,0.92,3.35,0.274,5.3,10.3,0.514,0.489,3.73,5.24,0.711,1.27,4.08,5.35,3.86,2.08,0.78,3.59,2.41,17.08,,
5,Jonny Flynn,,SYRACUSE,,38,0,37.32,5.76,12.53,0.46,1.18,3.74,0.317,4.58,8.79,0.521,0.507,4.74,6.03,0.786,0.58,2.16,2.74,6.68,1.42,0.16,3.39,1.45,17.45,,
6,Stephen Curry,,DAVIDSON,,34,0,33.68,9.18,20.21,0.454,3.82,9.88,0.387,5.35,10.32,0.519,0.549,6.47,7.38,0.876,0.62,3.82,4.44,5.56,2.53,0.24,3.71,2.38,28.65,,
7,Jordan Hill,,ARIZONA,,34,0,35.68,7.41,13.79,0.537,0.0,0.0,0.0,7.41,13.79,0.537,0.537,3.44,5.26,0.654,4.21,6.82,11.03,1.47,0.88,1.71,2.85,3.0,18.26,,
8,DeMar DeRozan,,USC,,35,0,33.37,5.49,10.49,0.523,0.17,1.03,0.167,5.31,9.46,0.562,0.531,2.71,4.2,0.646,2.4,3.34,5.74,1.46,0.89,0.37,2.09,2.09,13.86,,
9,Terrence Williams,,LOUISVILLE,,37,0,34.22,4.57,10.59,0.431,1.54,4.0,0.385,3.03,6.59,0.459,0.504,1.84,3.16,0.581,1.38,7.19,8.57,5.0,2.32,0.78,2.32,1.68,12.51,,
10,Gerald Henderson,,DUKE,,37,0,29.68,5.76,12.78,0.45,1.11,3.3,0.336,4.65,9.49,0.49,0.494,3.86,5.08,0.761,1.24,3.7,4.95,2.46,1.24,0.76,2.16,1.7,16.49,,
11,Tyler Hansbrough,,UNC,,34,0,30.26,6.56,12.76,0.514,0.26,0.68,0.391,6.29,12.09,0.521,0.524,7.32,8.71,0.841,3.03,5.09,8.12,1.0,1.24,0.35,1.85,2.26,20.71,,
12,Earl Clark,,LOUISVILLE,,37,0,34.3,5.46,11.95,0.457,0.84,2.57,0.326,4.62,9.38,0.493,0.492,2.43,3.76,0.647,2.76,5.95,8.7,3.22,1.03,1.38,3.22,1.92,14.19,,
13,Austin Daye,,GONZAGA,,34,0,26.32,4.68,9.79,0.477,1.06,2.47,0.429,3.62,7.32,0.494,0.532,2.26,3.21,0.706,1.06,5.76,6.82,1.09,0.71,2.06,2.15,2.85,12.68,,
