Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Deandre Ayton,,ARIZONA,,35,0,33.49,7.89,12.89,0.612,0.34,1.0,0.343,7.54,11.89,0.635,0.625,4.0,5.46,0.733,3.37,8.2,11.57,1.63,0.57,1.89,1.97,2.31,20.11,,
2,Marvin Bagley III,,DUKE,,33,0,33.88,8.18,13.33,0.614,0.7,1.76,0.397,7.48,11.58,0.647,0.64,3.97,6.33,0.627,4.0,7.09,11.09,1.52,0.82,0.88,2.27,1.82,21.03,,
3,Jaren Jackson Jr.,,MICHIGANST,,35,0,21.83,3.4,6.63,0.513,1.09,2.74,0.396,2.31,3.89,0.596,0.595,3.03,3.8,0.797,1.49,4.31,5.8,1.11,0.6,3.03,1.77,3.2,10.91,,
4,Trae Young,,OKLAHOMA,,32,0,35.41,8.16,19.31,0.422,3.69,10.25,0.36,4.47,9.06,0.493,0.518,7.38,8.56,0.861,0.44,3.47,3.91,8.72,1.69,0.25,5.22,1.78,27.38,,
5,Mo Bamba,,TEXAS,,30,0,30.2,4.87,9.0,0.541,0.47,1.7,0.275,4.4,7.3,0.603,0.567,2.7,3.97,0.681,3.2,7.33,10.53,0.5,0.77,3.7,1.53,2.53,12.9,,
6,Wendell Carter Jr.,,DUKE,,37,0,26.95,4.84,8.62,0.561,0.51,1.24,0.413,4.32,7.38,0.586,0.591,3.35,4.54,0.738,2.95,6.11,9.05,2.0,0.81,2.05,2.03,2.84,13.54,,
7,Collin Sexton,,ALABAMA,,33,0,29.91,5.94,13.27,0.447,1.33,3.97,0.336,4.61,9.3,0.495,0.498,5.94,7.64,0.778,1.03,2.73,3.76,3.61,0.85,0.09,2.79,2.45,19.15,,
8,Kevin Knox,,KENTUCKY,,37,0,32.38,5.3,11.89,0.445,1.54,4.51,0.341,3.76,7.38,0.509,0.51,3.43,4.43,0.774,0.89,4.51,5.41,1.43,0.84,0.27,2.3,2.22,15.57,,
9,Mikal Bridges,,VILLANOVA,,40,0,32.12,6.1,11.88,0.514,2.6,5.97,0.435,3.5,5.9,0.593,0.623,2.85,3.35,0.851,1.35,3.95,5.3,1.93,1.52,1.07,1.35,2.15,17.65,,
10,Shai Gilgeous-Alexander,,KENTUCKY,,37,0,33.73,4.95,10.19,0.485,0.62,1.54,0.404,4.32,8.65,0.5,0.516,3.86,4.73,0.817,0.89,3.24,4.14,5.11,1.65,0.49,2.7,1.68,14.38,,
11,Miles Bridges,,MICHIGANST,,34,0,31.38,6.15,13.44,0.457,2.09,5.74,0.364,4.06,7.71,0.527,0.535,2.74,3.21,0.853,1.26,5.71,6.97,2.71,0.62,0.76,1.97,1.56,17.12,,
12,Jerome Robinson,,BOSTONCOLL,,35,0,36.0,7.11,14.66,0.485,2.31,5.66,0.409,4.8,9.0,0.533,0.564,4.17,5.03,0.83,0.49,3.11,3.6,3.31,0.86,0.14,2.74,2.51,20.71,,
13,Michael Porter Jr.,,MISSOURI,,3,0,17.67,3.33,10.0,0.333,1.0,3.33,0.3,2.33,6.67,0.35,0.383,2.33,3.0,0.778,1.33,5.33,6.67,0.33,1.0,0.33,1.0,2.0,10.0,,
14,Troy Brown Jr.,,OREGON,,35,0,31.23,4.09,9.2,0.444,0.91,3.14,0.291,3.17,6.06,0.524,0.494,2.23,3.0,0.743,1.51,4.69,6.2,3.17,1.57,0.2,2.46,2.23,11.31,,
15,Zhaire Smith,,TXTECH,,37,0,28.41,4.16,7.49,0.556,0.49,1.08,0.45,3.68,6.41,0.574,0.588,2.46,3.43,0.717,2.24,2.76,5.0,1.78,1.14,1.14,1.11,1.81,11.27,,
