Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Anthony Edwards,,GEORGIA,,32,0,33.03,6.34,15.78,0.402,2.25,7.66,0.294,4.09,8.12,0.504,0.473,4.12,5.34,0.772,0.75,4.47,5.22,2.84,1.34,0.56,2.72,2.19,19.06,,
2,James Wiseman,,MEMPHIS,,3,0,23.0,6.67,8.67,0.769,0.0,0.33,0.0,6.67,8.33,0.8,0.769,6.33,9.0,0.704,4.33,6.33,10.67,0.33,0.33,3.0,1.0,1.67,19.67,,
3,Patrick Williams,,FLORIDAST,,29,0,22.52,3.28,7.14,0.459,0.55,1.72,0.32,2.72,5.41,0.503,0.498,2.14,2.55,0.838,1.31,2.69,4.0,1.0,1.0,1.03,1.72,1.62,9.24,,
4,Isaac Okoro,,AUBURN,,28,0,31.46,4.46,8.68,0.514,0.71,2.5,0.286,3.75,6.18,0.607,0.556,3.21,4.79,0.672,1.89,2.54,4.43,2.04,0.93,0.89,1.96,2.71,12.86,,
5,Onyeka Okongwu,,USC,,28,0,30.64,6.25,10.14,0.616,0.04,0.14,0.25,6.21,10.0,0.621,0.618,3.68,5.11,0.72,3.29,5.36,8.64,1.07,1.21,2.71,2.0,2.68,16.21,,
6,Obi Toppin,,DAYTON,,31,0,31.65,7.9,12.48,0.633,1.03,2.65,0.39,6.87,9.84,0.698,0.674,3.19,4.55,0.702,1.19,6.35,7.55,2.16,0.97,1.23,2.19,1.65,20.03,,
7,Jalen Smith,,MARYLAND,,31,0,31.29,5.42,10.06,0.538,1.03,2.81,0.368,4.39,7.26,0.604,0.59,3.58,4.77,0.75,3.19,7.32,10.52,0.81,0.71,2.35,1.71,2.35,15.45,,
8,Devin Vassell,,FLORIDAST,,30,0,28.77,4.8,9.8,0.49,1.47,3.53,0.415,3.33,6.27,0.532,0.565,1.6,2.17,0.738,1.27,3.8,5.07,1.63,1.4,0.97,0.77,1.93,12.67,,
9,Tyrese Haliburton,,IOWAST,,22,0,36.68,5.59,11.09,0.504,2.36,5.64,0.419,3.23,5.45,0.592,0.611,1.68,2.05,0.822,1.45,4.41,5.86,6.45,2.45,0.68,2.77,1.27,15.23,,
10,Kira Lewis Jr.,,ALABAMA,,31,0,37.65,6.65,14.48,0.459,1.81,4.94,0.366,4.84,9.55,0.507,0.521,3.39,4.23,0.802,0.84,3.94,4.77,5.23,1.81,0.58,3.55,2.61,18.48,,
11,Aaron Nesmith,,VANDY,,14,0,35.71,7.5,14.64,0.512,4.29,8.21,0.522,3.21,6.43,0.5,0.659,3.71,4.5,0.825,0.79,4.07,4.86,0.93,1.43,0.86,1.71,2.79,23.0,,
12,Cole Anthony,,UNC,,22,0,34.91,5.95,15.68,0.38,2.23,6.41,0.348,3.73,9.27,0.402,0.451,4.36,5.82,0.75,0.45,5.23,5.68,4.0,1.32,0.27,3.5,2.91,18.5,,
13,Isaiah Stewart,,WASHINGTON,,32,0,32.22,6.0,10.53,0.57,0.16,0.62,0.25,5.84,9.91,0.59,0.577,4.81,6.22,0.774,2.75,6.03,8.78,0.84,0.53,2.06,2.22,2.62,16.97,,
14,Josh Green,,ARIZONA,,30,0,30.87,4.07,9.6,0.424,1.0,2.77,0.361,3.07,6.83,0.449,0.476,2.83,3.63,0.78,1.3,3.27,4.57,2.6,1.53,0.43,1.63,2.43,11.97,,
15,Saddiq Bey,,VILLANOVA,,31,0,33.9,5.65,11.84,0.477,2.55,5.65,0.451,3.1,6.19,0.5,0.584,2.26,2.94,0.769,1.29,3.45,4.74,2.39,0.77,0.39,1.48,2.48,16.1,,
16,Precious Achiuwa,,MEMPHIS,,31,0,30.42,5.87,11.9,0.493,0.42,1.29,0.325,5.45,10.61,0.514,0.511,3.61,6.03,0.599,3.0,7.77,10.77,0.97,1.1,1.87,2.81,2.35,15.77,,
17,Tyrese Maxey,,KENTUCKY,,31,0,34.48,4.84,11.32,0.427,1.06,3.65,0.292,3.77,7.68,0.492,0.474,3.23,3.87,0.833,0.39,3.9,4.29,3.19,0.87,0.39,2.16,2.39,13.97,,
18,Zeke Nnaji,,ARIZONA,,32,0,30.66,5.59,9.81,0.57,0.16,0.53,0.294,5.44,9.28,0.586,0.578,4.75,6.25,0.76,3.09,5.53,8.62,0.84,0.72,0.88,2.19,2.38,16.09,,
19,Immanuel Quickley,,KENTUCKY,,30,0,32.97,4.6,11.03,0.417,2.07,4.83,0.428,2.53,6.2,0.409,0.511,4.8,5.2,0.923,0.53,3.67,4.2,1.87,0.9,0.13,1.6,2.33,16.07,,
20,Payton Pritchard,,OREGON,,31,0,36.61,6.97,14.9,0.468,2.84,6.84,0.415,4.13,8.06,0.512,0.563,3.71,4.52,0.821,0.68,3.65,4.32,5.55,1.52,0.03,2.74,2.0,20.48,,
