Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Brandon Miller,,ALABAMA,,37,0,32.65,6.0,13.95,0.43,2.86,7.46,0.384,3.14,6.49,0.483,0.533,3.95,4.59,0.859,2.05,6.19,8.24,2.08,0.89,0.86,2.19,2.35,18.81,,
2,Anthony Black,,ARKANSAS,,36,0,34.86,4.14,9.14,0.453,0.78,2.58,0.301,3.36,6.56,0.513,0.495,3.72,5.28,0.705,1.25,3.81,5.06,3.92,2.06,0.61,3.03,2.58,12.78,,
3,Jarace Walker,,HOUSTON,,36,0,27.56,4.39,9.44,0.465,0.97,2.81,0.347,3.42,6.64,0.515,0.516,1.47,2.22,0.662,2.28,4.53,6.81,1.81,0.97,1.28,1.47,2.06,11.22,,
4,Taylor Hendricks,,CFLORIDA,,34,0,34.68,5.41,11.32,0.478,1.79,4.56,0.394,3.62,6.76,0.535,0.557,2.53,3.24,0.782,2.35,4.62,6.97,1.35,0.91,1.74,1.41,2.0,15.15,,
5,Cason Wallace,,KENTUCKY,,32,0,32.19,4.34,9.75,0.446,1.38,3.97,0.346,2.97,5.78,0.514,0.516,1.66,2.19,0.757,0.94,2.78,3.72,4.25,1.97,0.47,2.09,2.44,11.72,,
6,Jett Howard,,MICHIGAN,,29,0,31.79,4.72,11.41,0.414,2.69,7.31,0.368,2.03,4.1,0.496,0.532,2.07,2.59,0.8,0.28,2.55,2.83,2.03,0.41,0.66,1.28,2.21,14.21,,
7,Dereck Lively II,,DUKE,,34,0,20.59,2.26,3.44,0.658,0.06,0.38,0.154,2.21,3.06,0.721,0.667,0.62,1.03,0.6,2.12,3.29,5.41,1.09,0.5,2.41,0.68,2.71,5.21,,
8,Gradey Dick,,KANSAS,,36,0,32.69,4.83,10.94,0.442,2.31,5.72,0.403,2.53,5.22,0.484,0.547,2.11,2.47,0.854,1.11,4.03,5.14,1.67,1.44,0.25,1.25,2.11,14.08,,
9,Jordan Hawkins,,UCONN,,37,0,29.35,4.92,12.03,0.409,2.95,7.59,0.388,1.97,4.43,0.445,0.531,3.38,3.81,0.887,0.97,2.81,3.78,1.27,0.7,0.51,1.35,2.22,16.16,,
10,Kobe Bufkin,,MICHIGAN,,33,0,33.97,5.24,10.88,0.482,1.3,3.67,0.355,3.94,7.21,0.546,0.542,2.21,2.61,0.849,0.76,3.76,4.52,2.91,1.3,0.7,1.94,2.42,14.0,,
11,Keyonte George,,BAYLOR,,33,0,28.61,4.7,12.48,0.376,2.33,6.91,0.338,2.36,5.58,0.424,0.47,3.61,4.55,0.793,1.0,3.15,4.15,2.76,1.12,0.18,2.88,2.12,15.33,,
12,Jalen Hood-Schifino,,INDIANA,,32,0,33.06,5.25,12.59,0.417,1.16,3.47,0.333,4.09,9.12,0.449,0.463,1.84,2.38,0.776,0.44,3.69,4.12,3.66,0.81,0.25,2.78,2.44,13.5,,
13,Jaime Jaquez Jr.,,UCLA,,37,0,33.22,7.05,14.68,0.481,0.89,2.81,0.317,6.16,11.86,0.519,0.511,2.81,3.65,0.77,2.57,5.65,8.22,2.35,1.54,0.59,1.81,1.86,17.81,,
14,Brandin Podziemski,,SANTACLARA,,32,0,36.0,6.94,14.38,0.483,2.53,5.78,0.438,4.41,8.59,0.513,0.571,3.47,4.5,0.771,1.78,6.97,8.75,3.66,1.78,0.47,2.28,1.91,19.88,,
15,Cam Whitmore,,VILLANOVA,,26,0,27.27,4.69,9.81,0.478,1.42,4.15,0.343,3.27,5.65,0.578,0.551,1.73,2.46,0.703,0.81,4.5,5.31,0.73,1.42,0.35,1.62,1.69,12.54,,
16,Noah Clowney,,ALABAMA,,36,0,25.42,3.42,7.03,0.486,0.94,3.33,0.283,2.47,3.69,0.669,0.553,2.0,3.08,0.649,2.08,5.83,7.92,0.81,0.58,0.94,1.28,2.5,9.78,,
17,Dariq Whitehead,,DUKE,,28,0,20.61,2.96,7.04,0.421,1.5,3.5,0.429,1.46,3.54,0.414,0.528,0.82,1.04,0.793,0.46,1.96,2.43,0.96,0.75,0.21,1.39,1.5,8.25,,
18,Kris Murray,,IOWA,,29,0,34.86,7.48,15.72,0.476,2.28,6.79,0.335,5.21,8.93,0.583,0.548,2.97,4.07,0.729,2.76,5.17,7.93,2.0,1.03,1.17,1.52,2.1,20.21,,
19,Olivier-Maxence Prosper,,MARQUETTE,,36,0,29.14,4.17,8.14,0.512,1.08,3.19,0.339,3.08,4.94,0.624,0.578,3.08,4.19,0.735,1.69,2.97,4.67,0.67,0.92,0.14,1.39,2.31,12.5,,
20,Marcus Sasser,,HOUSTON,,36,0,30.78,5.28,12.06,0.438,2.67,6.94,0.384,2.61,5.11,0.511,0.548,3.56,4.19,0.848,0.36,2.47,2.83,3.08,1.61,0.17,1.58,1.53,16.78,,
21,Ben Sheppard,,BELMONT,,32,0,34.38,6.75,14.22,0.475,2.5,6.03,0.415,4.25,8.19,0.519,0.563,2.84,4.16,0.684,0.62,4.59,5.22,2.91,1.38,0.16,2.19,2.06,18.84,,
22,Nick Smith Jr.,,ARKANSAS,,17,0,25.76,4.47,11.88,0.376,1.41,4.18,0.338,3.06,7.71,0.397,0.436,2.18,2.94,0.74,0.24,1.41,1.65,1.71,0.82,0.12,1.59,1.53,12.53,,
23,Brice Sensabaugh,,OHIOST,,33,0,24.52,5.97,12.42,0.48,1.82,4.48,0.405,4.15,7.94,0.523,0.554,2.52,3.03,0.83,1.27,4.09,5.36,1.15,0.55,0.39,2.03,2.48,16.27,,
24,Julian Strawther,,GONZAGA,,37,0,31.19,5.14,10.95,0.469,2.16,5.3,0.408,2.97,5.65,0.526,0.568,2.81,3.62,0.776,0.76,5.49,6.24,1.32,0.84,0.43,1.51,2.11,15.24,,
25,Kobe Brown,,MISSOURI,,34,0,29.56,5.71,10.32,0.553,1.5,3.29,0.455,4.21,7.03,0.598,0.625,2.91,3.68,0.792,1.79,4.56,6.35,2.53,1.47,0.44,1.65,2.47,15.82,,
26,Jalen Pickett,,PENNST,,37,0,36.57,7.03,13.84,0.508,1.22,3.19,0.381,5.81,10.65,0.546,0.552,2.43,3.19,0.763,1.16,6.24,7.41,6.57,0.95,0.51,2.27,2.08,17.7,,
27,Colby Jones,,XAVIER,,36,0,33.97,5.75,11.31,0.509,1.25,3.31,0.378,4.5,8.0,0.562,0.564,2.25,3.44,0.653,1.25,4.47,5.72,4.39,1.31,0.56,2.33,2.14,15.0,,
28,Julian Phillips,,TENNESSEE,,32,0,24.06,2.47,6.0,0.411,0.34,1.44,0.239,2.12,4.56,0.466,0.44,3.03,3.69,0.822,1.78,2.91,4.69,1.44,0.62,0.53,1.28,1.75,8.31,,
29,Andre Jackson Jr.,,UCONN,,36,0,29.11,2.56,5.92,0.432,0.69,2.47,0.281,1.86,3.44,0.54,0.491,0.86,1.33,0.646,1.86,4.33,6.19,4.69,1.08,0.5,1.97,2.81,6.67,,
30,Hunter Tyson,,CLEMSON,,34,0,34.71,5.06,10.56,0.479,2.44,6.03,0.405,2.62,4.53,0.578,0.595,2.74,3.26,0.838,1.29,8.26,9.56,1.47,0.94,0.12,1.03,1.76,15.29,,
31,Jordan Walsh,,ARKANSAS,,36,0,24.39,2.61,6.03,0.433,0.56,2.0,0.278,2.06,4.03,0.51,0.479,1.31,1.83,0.712,1.19,2.72,3.92,0.92,1.11,0.47,1.03,2.92,7.08,,
32,Mouhamed Gueye,,WASHST,,33,0,32.06,5.64,11.55,0.488,0.33,1.21,0.275,5.3,10.33,0.513,0.503,2.7,4.0,0.674,3.36,5.0,8.36,1.88,0.82,0.85,2.33,2.79,14.3,,
33,Maxwell Lewis,,PEPPERDINE,,31,0,31.42,6.06,12.97,0.468,1.48,4.26,0.348,4.58,8.71,0.526,0.525,3.45,4.39,0.787,1.19,4.48,5.68,2.81,0.84,0.81,3.29,2.74,17.06,,
34,Amari Bailey,,UCLA,,30,0,26.93,4.5,9.1,0.495,0.7,1.8,0.389,3.8,7.3,0.521,0.533,1.47,2.1,0.698,0.83,2.97,3.8,2.17,1.13,0.3,2.43,1.7,11.17,,
35,GG Jackson II,,SCAROLINA,,32,0,31.91,5.53,14.41,0.384,1.72,5.31,0.324,3.81,9.09,0.419,0.444,2.62,3.88,0.677,1.53,4.41,5.94,0.84,0.75,0.81,2.69,1.5,15.41,,
36,Seth Lundy,,PENNST,,36,0,31.69,4.58,10.19,0.45,2.56,6.39,0.4,2.03,3.81,0.533,0.575,2.44,3.03,0.807,0.92,5.33,6.25,0.86,0.75,0.58,0.86,2.19,14.17,,
37,Jordan Miller,,MIAMIFL,,37,0,34.97,5.89,10.81,0.545,0.86,2.46,0.352,5.03,8.35,0.602,0.585,2.65,3.38,0.784,2.05,4.16,6.22,2.68,1.22,0.41,1.32,1.7,15.3,,
38,Emoni Bates,,EMICHIGAN,,30,0,33.8,6.43,15.9,0.405,2.53,7.67,0.33,3.9,8.23,0.474,0.484,3.83,4.9,0.782,0.67,5.1,5.77,1.4,0.73,0.53,2.53,2.27,19.23,,
39,Keyontae Johnson,,KANSASST,,36,0,34.11,6.56,12.69,0.516,1.31,3.22,0.405,5.25,9.47,0.554,0.568,3.0,4.19,0.715,1.5,5.31,6.81,2.14,1.03,0.19,2.94,2.42,17.42,,
40,Jalen Wilson,,KANSAS,,36,0,35.39,6.86,15.97,0.43,1.94,5.78,0.337,4.92,10.19,0.482,0.49,4.42,5.53,0.799,1.56,6.69,8.25,2.19,0.94,0.47,2.33,2.11,20.08,,
41,Toumani Camara,,DAYTON,,34,0,29.97,5.24,9.59,0.546,0.85,2.35,0.362,4.38,7.24,0.606,0.59,2.62,3.91,0.669,2.32,6.32,8.65,1.74,1.24,0.82,2.09,2.62,13.94,,
42,Jaylen Clark,,UCLA,,30,0,30.5,4.93,10.27,0.481,0.87,2.63,0.329,4.07,7.63,0.533,0.523,2.23,3.2,0.698,1.93,4.1,6.03,1.87,2.6,0.27,1.23,2.13,12.97,,
43,Jalen Slawson,,FURMAN,,36,0,30.67,5.36,9.64,0.556,1.14,2.89,0.394,4.22,6.75,0.626,0.615,3.72,4.81,0.775,1.78,5.31,7.08,3.19,1.53,1.53,2.58,2.81,15.58,,
44,Isaiah Wong,,MIAMIFL,,37,0,33.43,5.19,11.65,0.445,1.65,4.3,0.384,3.54,7.35,0.482,0.516,4.14,4.89,0.845,1.05,3.27,4.32,3.19,1.38,0.38,2.08,1.81,16.16,,
45,Trayce Jackson-Davis,,INDIANA,,32,0,34.53,8.19,14.09,0.581,0.0,0.0,0.0,8.19,14.09,0.581,0.581,4.56,6.56,0.695,2.84,7.97,10.81,4.03,0.84,2.88,2.53,1.69,20.94,,
46,Chris Livingston,,KENTUCKY,,34,0,22.41,2.32,5.41,0.429,0.53,1.74,0.305,1.79,3.68,0.488,0.478,1.15,1.59,0.722,1.12,3.06,4.18,0.71,0.44,0.35,0.91,1.68,6.32,,
47,Donovan Clingan,,UCONN,,39,0,13.1,2.87,4.38,0.655,0.0,0.03,0.0,2.87,4.36,0.659,0.655,1.15,2.23,0.517,2.21,3.41,5.62,0.46,0.41,1.79,1.03,1.87,6.9,,
48,Zach Edey,,PURDUE,,34,0,31.68,8.53,14.06,0.607,0.0,0.0,0.0,8.53,14.06,0.607,0.607,5.21,7.09,0.734,5.47,7.41,12.88,1.53,0.24,2.12,2.26,1.65,22.26,,
49,Devin Carter,,PROVIDENCE,,33,0,32.03,4.27,10.0,0.427,1.06,3.55,0.299,3.21,6.45,0.498,0.48,3.42,4.76,0.72,1.21,3.73,4.94,2.45,1.79,1.06,1.61,2.06,13.03,,
50,Kel'el Ware,,OREGON,,35,0,15.77,2.43,5.31,0.457,0.43,1.57,0.273,2.0,3.74,0.534,0.497,1.34,1.89,0.712,0.97,3.09,4.06,0.51,0.37,1.29,0.77,1.0,6.63,,
51,Dalton Knecht,,NCOLORADO,,32,0,35.28,7.31,15.28,0.479,2.41,6.31,0.381,4.91,8.97,0.547,0.557,3.16,4.09,0.771,0.72,6.47,7.19,1.75,0.78,0.56,2.06,1.5,20.19,,
52,Tristan Da Silva,,COLORADO,,35,0,30.89,6.03,12.14,0.496,1.54,3.91,0.394,4.49,8.23,0.545,0.56,2.29,3.03,0.755,1.26,3.54,4.8,1.31,1.26,0.37,1.97,1.91,15.89,,
53,Jaylon Tyson,,TXTECH,,31,0,28.87,4.1,8.48,0.483,1.39,3.45,0.402,2.71,5.03,0.538,0.565,1.1,1.52,0.723,1.58,4.55,6.13,1.32,1.39,0.35,1.71,1.94,10.68,,
54,DaRon Holmes,,DAYTON,,34,0,34.26,6.76,11.47,0.59,0.18,0.56,0.316,6.59,10.91,0.604,0.597,4.65,6.94,0.669,2.85,5.24,8.09,1.71,0.74,1.94,2.32,2.09,18.35,,
55,Dillon Jones,,WEBERST,,32,0,36.31,5.31,11.5,0.462,1.12,3.72,0.303,4.19,7.78,0.538,0.511,4.91,6.03,0.813,0.81,10.12,10.94,3.75,1.59,0.06,3.41,2.03,16.66,,
56,Terrence Shannon Jr.,,ILLINOIS,,31,0,32.13,5.13,11.61,0.442,1.61,5.03,0.321,3.52,6.58,0.534,0.511,5.35,6.77,0.79,1.23,3.42,4.65,2.81,1.26,0.48,2.58,2.35,17.23,,
57,Ryan Dunn,,VIRGINIA,,31,0,12.94,1.06,2.0,0.532,0.16,0.52,0.312,0.9,1.48,0.609,0.573,0.35,0.71,0.5,0.61,2.32,2.94,0.29,0.42,1.06,0.45,1.32,2.65,,
58,Baylor Scheierman,,CREIGHTON,,37,0,32.73,4.35,10.27,0.424,2.35,6.46,0.364,2.0,3.81,0.525,0.538,1.7,2.03,0.84,0.95,7.32,8.27,3.3,1.03,0.24,2.16,2.11,12.76,,
59,Kyle Filipowski,,DUKE,,36,0,29.08,5.25,11.92,0.441,0.97,3.44,0.282,4.28,8.47,0.505,0.481,3.61,4.72,0.765,2.5,6.47,8.97,1.56,1.28,0.72,2.5,2.58,15.08,,
60,Tyler Kolek,,MARQUETTE,,36,0,32.33,4.58,9.72,0.471,1.31,3.28,0.398,3.28,6.44,0.509,0.539,2.47,3.08,0.802,0.75,3.39,4.14,7.5,1.78,0.14,2.5,1.92,12.94,,
61,Bobi Klintman,,WAKE,,33,0,20.55,1.85,4.55,0.407,0.85,2.3,0.368,1.0,2.24,0.446,0.5,0.79,1.06,0.743,1.06,3.48,4.55,0.79,0.45,0.61,0.97,1.97,5.33,,
