Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Reed Sheppard,,KENTUCKY,,33,0,28.94,4.27,7.97,0.536,2.27,4.36,0.521,2.0,3.61,0.555,0.679,1.64,1.97,0.831,0.36,3.76,4.12,4.48,2.48,0.7,2.0,1.91,12.45,,
2,Stephon Castle,,UCONN,,34,0,27.0,4.03,8.53,0.472,0.59,2.21,0.267,3.44,6.32,0.544,0.507,2.44,3.24,0.755,1.68,3.0,4.68,2.91,0.79,0.53,1.5,2.41,11.09,,
3,Donovan Clingan,,UCONN,,35,0,22.51,5.31,8.31,0.639,0.06,0.23,0.25,5.26,8.09,0.65,0.643,2.31,3.97,0.583,2.49,4.89,7.37,1.51,0.51,2.46,0.8,2.03,13.0,,
4,Rob Dillingham,,KENTUCKY,,32,0,23.31,5.38,11.31,0.475,2.0,4.5,0.444,3.38,6.81,0.495,0.564,2.44,3.06,0.796,0.25,2.69,2.94,3.88,1.03,0.06,2.0,2.62,15.19,,
5,Zach Edey,,PURDUE,,39,0,32.0,8.62,13.82,0.623,0.03,0.05,0.5,8.59,13.77,0.624,0.624,7.95,11.18,0.711,4.64,7.51,12.15,2.03,0.28,2.15,2.31,1.95,25.21,,
6,Cody Williams,,COLORADO,,24,0,28.38,4.46,8.08,0.552,0.71,1.71,0.415,3.75,6.38,0.588,0.595,2.29,3.21,0.714,0.71,2.29,3.0,1.58,0.62,0.67,2.0,2.0,11.92,,
7,Devin Carter,,PROVIDENCE,,33,0,35.3,6.64,14.03,0.473,2.55,6.76,0.377,4.09,7.27,0.562,0.564,3.88,5.18,0.749,1.0,7.67,8.67,3.64,1.76,0.97,2.7,1.91,19.7,,
8,Bub Carrington,,PITT,,33,0,33.21,4.82,11.7,0.412,1.97,6.12,0.322,2.85,5.58,0.511,0.496,2.21,2.82,0.785,0.48,4.7,5.18,4.12,0.58,0.24,1.94,2.36,13.82,,
9,Kel'el Ware,,INDIANA,,30,0,32.17,6.27,10.7,0.586,0.57,1.33,0.425,5.7,9.37,0.609,0.612,2.83,4.47,0.634,2.1,7.77,9.87,1.5,0.6,1.87,1.57,2.03,15.93,,
10,Jared McCain,,DUKE,,36,0,31.58,4.86,10.53,0.462,2.42,5.83,0.414,2.44,4.69,0.521,0.577,2.14,2.42,0.885,0.81,4.22,5.03,1.89,1.06,0.06,1.31,1.61,14.28,,
11,Dalton Knecht,,TENNESSEE,,36,0,30.56,7.33,16.03,0.458,2.58,6.5,0.397,4.75,9.53,0.499,0.538,4.42,5.72,0.772,0.78,4.11,4.89,1.81,0.69,0.64,1.69,1.78,21.67,,
12,Tristan Da Silva,,COLORADO,,34,0,33.82,5.79,11.76,0.492,1.88,4.76,0.395,3.91,7.0,0.559,0.573,2.53,3.03,0.835,0.94,4.12,5.06,2.41,1.15,0.56,1.79,2.0,16.0,,
13,Ja'Kobe Walter,,BAYLOR,,35,0,32.31,4.11,10.94,0.376,2.14,6.29,0.341,1.97,4.66,0.423,0.474,4.14,5.23,0.792,1.34,3.09,4.43,1.43,1.06,0.23,1.34,2.06,14.51,,
14,Jaylon Tyson,,CALIFORNIA,,31,0,34.26,7.16,15.39,0.465,1.61,4.48,0.36,5.55,10.9,0.509,0.518,3.65,4.58,0.796,1.65,5.13,6.77,3.45,1.19,0.48,3.1,2.13,19.58,,
15,Yves Missi,,BAYLOR,,34,0,22.94,4.12,6.71,0.614,0.0,0.0,0.0,4.12,6.71,0.614,0.614,2.5,4.06,0.616,2.62,3.0,5.62,0.38,0.59,1.5,1.15,2.38,10.74,,
