Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Paolo Banchero,,DUKE,,39,0,32.97,6.28,13.15,0.478,1.13,3.33,0.338,5.15,9.82,0.525,0.52,3.51,4.82,0.729,1.74,6.05,7.79,3.18,1.05,0.92,2.36,1.92,17.21,,
2,Chet Holmgren,,GONZAGA,,32,0,26.91,5.31,8.75,0.607,1.28,3.28,0.39,4.03,5.47,0.737,0.68,2.22,3.09,0.717,1.78,8.12,9.91,1.91,0.81,3.66,1.91,2.66,14.12,,
3,Jabari Smith Jr.,,AUBURN,,34,0,28.76,5.38,12.56,0.429,2.32,5.53,0.42,3.06,7.03,0.435,0.521,3.85,4.82,0.799,0.94,6.47,7.41,2.0,1.09,1.03,1.85,2.06,16.94,,
4,Keegan Murray,,IOWA,,35,0,31.89,8.77,15.83,0.554,1.89,4.74,0.398,6.89,11.09,0.621,0.614,4.06,5.43,0.747,2.86,5.8,8.66,1.49,1.29,1.94,1.11,1.86,23.49,,
5,Jaden Ivey,,PURDUE,,36,0,31.44,5.64,12.25,0.46,1.78,4.97,0.358,3.86,7.28,0.531,0.533,4.28,5.75,0.744,0.67,4.22,4.89,3.06,0.92,0.56,2.61,1.75,17.33,,
6,Bennedict Mathurin,,ARIZONA,,37,0,32.46,5.89,13.08,0.45,2.24,6.08,0.369,3.65,7.0,0.521,0.536,3.68,4.81,0.764,1.38,4.24,5.62,2.54,0.97,0.27,1.78,1.84,17.7,,
7,Jeremy Sochan,,BAYLOR,,30,0,25.13,3.33,7.03,0.474,0.8,2.7,0.296,2.53,4.33,0.585,0.531,1.77,3.0,0.589,1.97,4.4,6.37,1.77,1.27,0.7,1.57,2.3,9.23,,
8,Johnny Davis,,WISCONSIN,,31,0,34.19,6.77,15.87,0.427,1.19,3.9,0.306,5.58,11.97,0.466,0.464,5.0,6.32,0.791,1.32,6.9,8.23,2.13,1.16,0.74,2.29,2.03,19.74,,
9,Jalen Williams,,SANTACLARA,,33,0,34.85,6.64,12.94,0.513,1.27,3.21,0.396,5.36,9.73,0.551,0.562,3.45,4.27,0.809,0.58,3.85,4.42,4.15,1.18,0.55,2.09,2.58,18.0,,
10,Jalen Duren,,MEMPHIS,,29,0,25.28,4.86,8.14,0.597,0.0,0.03,0.0,4.86,8.1,0.6,0.597,2.24,3.59,0.625,2.97,5.17,8.14,1.28,0.83,2.1,2.24,2.72,11.97,,
11,Ochai Agbaji,,KANSAS,,39,0,35.05,6.62,13.92,0.475,2.64,6.49,0.407,3.97,7.44,0.534,0.57,2.9,3.9,0.743,0.82,4.23,5.05,1.59,0.92,0.56,2.05,1.67,18.77,,
12,Mark Williams,,DUKE,,39,0,23.64,4.9,6.79,0.721,0.0,0.03,0.0,4.9,6.77,0.723,0.721,1.44,1.97,0.727,2.59,4.82,7.41,0.9,0.49,2.82,0.92,2.05,11.23,,
13,AJ Griffin,,DUKE,,39,0,23.97,3.74,7.59,0.493,1.82,4.08,0.447,1.92,3.51,0.547,0.613,1.08,1.36,0.792,0.77,3.15,3.92,0.97,0.51,0.56,0.64,1.08,10.38,,
14,Tari Eason,,LSU,,33,0,24.42,5.76,11.06,0.521,0.85,2.36,0.359,4.91,8.7,0.564,0.559,4.58,5.7,0.803,2.27,4.33,6.61,1.0,1.94,1.09,2.21,2.76,16.94,,
15,Dalen Terry,,ARIZONA,,37,0,27.81,3.11,6.19,0.502,0.76,2.08,0.364,2.35,4.11,0.572,0.563,1.05,1.43,0.736,1.16,3.68,4.84,3.92,1.24,0.32,1.38,2.27,8.03,,
16,Jake LaRavia,,WAKE,,33,0,34.18,5.03,9.0,0.559,0.85,2.21,0.384,4.18,6.79,0.616,0.606,3.7,4.76,0.777,2.06,4.52,6.58,3.7,1.67,0.97,2.7,2.79,14.61,,
17,Malaki Branham,,OHIOST,,32,0,29.62,5.0,10.03,0.498,1.16,2.78,0.416,3.84,7.25,0.53,0.556,2.5,3.0,0.833,0.78,2.78,3.56,2.0,0.72,0.28,1.69,1.75,13.66,,
18,Christian Braun,,KANSAS,,40,0,34.35,5.17,10.45,0.495,1.27,3.3,0.386,3.9,7.15,0.545,0.556,2.48,3.38,0.733,1.4,5.12,6.53,2.77,0.97,0.82,2.02,1.82,14.1,,
19,Walker Kessler,,AUBURN,,34,0,25.62,4.79,7.88,0.608,0.29,1.47,0.2,4.5,6.41,0.702,0.627,1.56,2.62,0.596,2.62,5.44,8.06,0.88,1.09,4.56,1.09,2.59,11.44,,
20,David Roddy,,COLORADOST,,31,0,32.94,7.16,12.55,0.571,1.48,3.39,0.438,5.68,9.16,0.62,0.63,3.39,4.9,0.691,1.84,5.71,7.55,2.87,1.16,1.06,2.32,2.29,19.19,,
21,Blake Wesley,,NOTREDAME,,35,0,29.34,5.09,12.6,0.404,1.54,5.09,0.303,3.54,7.51,0.471,0.465,2.69,4.09,0.657,0.69,3.0,3.69,2.4,1.26,0.06,2.2,1.91,14.4,,
22,Wendell Moore Jr.,,DUKE,,39,0,33.95,4.82,9.64,0.5,1.33,3.23,0.413,3.49,6.41,0.544,0.569,2.44,3.03,0.805,1.23,4.08,5.31,4.41,1.41,0.21,1.95,1.59,13.41,,
23,Patrick Baldwin Jr.,,WISCMILW,,11,0,28.55,4.09,11.91,0.344,1.55,5.82,0.266,2.55,6.09,0.418,0.408,2.36,3.18,0.743,0.91,4.91,5.82,1.55,0.82,0.82,2.09,1.55,12.09,,
24,TyTy Washington Jr.,,KENTUCKY,,31,0,29.19,4.9,10.87,0.451,1.16,3.32,0.35,3.74,7.55,0.496,0.504,1.55,2.06,0.75,0.65,2.81,3.45,3.87,1.29,0.19,1.65,1.52,12.52,,
25,Peyton Watson,,UCLA,,32,0,12.66,1.19,3.69,0.322,0.22,0.97,0.226,0.97,2.72,0.356,0.352,0.69,1.0,0.688,0.91,1.97,2.88,0.81,0.59,0.59,0.94,1.59,3.28,,
26,Andrew Nembhard,,GONZAGA,,32,0,32.16,4.38,9.69,0.452,1.59,4.16,0.383,2.78,5.53,0.503,0.534,1.5,1.72,0.873,0.44,2.94,3.38,5.75,1.59,0.12,1.94,2.0,11.84,,
27,Caleb Houstan,,MICHIGAN,,34,0,32.0,3.21,8.35,0.384,1.76,4.97,0.355,1.44,3.38,0.426,0.489,1.91,2.44,0.783,0.79,3.18,3.97,1.35,0.74,0.24,1.53,1.68,10.09,,
28,Christian Koloko,,ARIZONA,,37,0,25.43,4.95,7.78,0.635,0.0,0.08,0.0,4.95,7.7,0.642,0.635,2.7,3.68,0.735,2.57,4.73,7.3,1.38,0.76,2.76,1.59,2.78,12.59,,
29,Jaylin Williams,,ARKANSAS,,37,0,31.65,3.84,8.32,0.461,0.46,1.92,0.239,3.38,6.41,0.527,0.489,2.76,3.78,0.729,1.51,8.32,9.84,2.57,1.3,1.11,1.81,2.65,10.89,,
30,Max Christie,,MICHIGANST,,35,0,30.8,3.2,8.37,0.382,1.11,3.51,0.317,2.09,4.86,0.429,0.449,1.74,2.11,0.824,0.86,2.6,3.46,1.46,0.51,0.49,1.49,1.11,9.26,,
31,Kennedy Chandler,,TENNESSEE,,34,0,30.82,5.35,11.53,0.464,1.44,3.76,0.383,3.91,7.76,0.504,0.527,1.76,2.91,0.606,0.68,2.56,3.24,4.74,2.18,0.24,2.5,2.03,13.91,,
32,Bryce McGowens,,NEBRASKA,,31,0,33.29,5.16,12.81,0.403,1.29,4.71,0.274,3.87,8.1,0.478,0.453,5.23,6.29,0.831,0.71,4.48,5.19,1.39,0.71,0.32,2.1,2.0,16.84,,
33,E.J. Liddell,,OHIOST,,32,0,33.19,6.34,12.94,0.49,1.44,3.84,0.374,4.91,9.09,0.54,0.546,5.28,6.91,0.765,2.25,5.69,7.94,2.5,0.56,2.59,2.41,2.5,19.41,,
34,Trevor Keels,,DUKE,,36,0,30.19,4.08,9.75,0.419,1.5,4.81,0.312,2.58,4.94,0.522,0.496,1.81,2.69,0.67,0.83,2.61,3.44,2.72,1.22,0.06,1.25,1.31,11.47,,
35,Moussa Diabaté,,MICHIGAN,,32,0,24.88,3.66,6.75,0.542,0.09,0.44,0.214,3.56,6.31,0.564,0.549,1.62,2.62,0.619,2.38,3.59,5.97,0.81,0.34,0.88,1.47,2.69,9.03,,
36,Ryan Rollins,,TOLEDO,,34,0,32.68,6.82,14.59,0.468,1.38,4.44,0.311,5.44,10.15,0.536,0.515,3.82,4.76,0.802,0.68,5.29,5.97,3.62,1.74,0.26,2.24,2.44,18.85,,
37,Josh Minott,,MEMPHIS,,33,0,14.64,2.52,4.82,0.522,0.06,0.42,0.143,2.45,4.39,0.559,0.528,1.48,1.97,0.754,1.58,2.18,3.76,0.94,0.82,0.67,0.94,1.76,6.58,,
38,Vince Williams Jr.,,VCU,,30,0,32.43,4.57,9.57,0.477,2.17,5.6,0.387,2.4,3.97,0.605,0.591,2.77,3.4,0.814,0.9,5.07,5.97,3.03,1.6,1.07,2.87,2.9,14.07,,
39,Kendall Brown,,BAYLOR,,34,0,27.0,3.88,6.65,0.584,0.41,1.21,0.341,3.47,5.44,0.638,0.615,1.5,2.18,0.689,1.74,3.15,4.88,1.85,1.0,0.35,1.71,2.26,9.68,,
40,Isaiah Mobley,,USC,,32,0,34.06,5.03,11.31,0.445,1.34,3.81,0.352,3.69,7.5,0.492,0.504,2.75,4.03,0.682,2.22,6.12,8.34,3.31,0.75,0.91,1.88,2.0,14.16,,
41,Tyrese Martin,,UCONN,,29,0,32.07,4.97,11.07,0.449,1.48,3.45,0.43,3.48,7.62,0.457,0.516,2.14,3.1,0.689,2.34,5.17,7.52,1.93,0.79,0.48,1.83,2.1,13.55,,
42,JD Davison,,ALABAMA,,33,0,25.82,3.0,6.48,0.463,0.76,2.52,0.301,2.24,3.97,0.565,0.521,1.79,2.45,0.728,1.09,3.67,4.76,4.33,0.97,0.36,2.88,1.24,8.55,,
43,Jabari Walker,,COLORADO,,33,0,28.12,4.85,10.52,0.461,1.09,3.15,0.346,3.76,7.36,0.51,0.513,3.85,4.91,0.784,2.06,7.33,9.39,1.24,0.73,0.67,2.3,2.52,14.64,,
44,Jordan Hawkins,,UCONN,,27,0,14.74,1.81,5.15,0.353,1.0,3.0,0.333,0.81,2.15,0.379,0.45,1.19,1.44,0.821,0.44,1.52,1.96,0.52,0.33,0.33,0.96,1.04,5.81,,
45,Kobe Bufkin,,MICHIGAN,,28,0,10.64,1.07,2.82,0.38,0.29,1.29,0.222,0.79,1.54,0.512,0.43,0.61,0.79,0.773,0.32,0.82,1.14,0.29,0.39,0.11,0.54,0.86,3.04,,
