Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Karl-Anthony Towns,,KENTUCKY,,39,0,21.08,3.72,6.56,0.566,0.05,0.21,0.25,3.67,6.36,0.577,0.57,2.79,3.44,0.813,2.36,4.33,6.69,1.13,0.46,2.26,1.36,2.95,10.28,,
2,D'Angelo Russell,,OHIOST,,35,0,33.94,6.6,14.71,0.449,2.71,6.6,0.411,3.89,8.11,0.479,0.541,3.37,4.46,0.756,1.0,4.66,5.66,5.0,1.57,0.31,2.91,2.11,19.29,,
3,Jahlil Okafor,,DUKE,,38,0,30.08,7.34,11.05,0.664,0.0,0.0,0.0,7.34,11.05,0.664,0.664,2.61,5.11,0.51,3.53,4.95,8.47,1.29,0.76,1.42,2.5,2.13,17.29,,
4,Willie Cauley-Stein,,KENTUCKY,,39,0,25.95,3.46,6.05,0.572,0.0,0.0,0.0,3.46,6.05,0.572,0.572,2.03,3.28,0.617,2.28,4.15,6.44,0.97,1.21,1.72,1.23,2.0,8.95,,
5,Stanley Johnson,,ARIZONA,,38,0,28.45,4.58,10.26,0.446,1.13,3.05,0.371,3.45,7.21,0.478,0.501,3.47,4.68,0.742,1.97,4.53,6.5,1.66,1.5,0.39,2.16,2.63,13.76,,
6,Frank Kaminsky,,WISCONSIN,,39,0,33.62,6.85,12.51,0.547,1.08,2.59,0.416,5.77,9.92,0.581,0.59,4.0,5.13,0.78,1.49,6.72,8.21,2.64,0.85,1.46,1.62,1.67,18.77,,
7,Justise Winslow,,DUKE,,39,0,29.1,4.44,9.13,0.486,1.18,2.82,0.418,3.26,6.31,0.516,0.551,2.56,4.0,0.641,1.26,5.21,6.46,2.1,1.33,0.87,1.82,2.77,12.62,,
8,Myles Turner,,TEXAS,,34,0,22.21,3.44,7.56,0.455,0.5,1.82,0.274,2.94,5.74,0.513,0.488,2.76,3.29,0.839,1.29,5.24,6.53,0.59,0.29,2.62,1.38,2.41,10.15,,
9,Trey Lyles,,KENTUCKY,,36,0,23.0,3.25,6.67,0.487,0.11,0.81,0.138,3.14,5.86,0.536,0.496,2.08,2.83,0.735,1.81,3.42,5.22,1.06,0.53,0.44,1.14,1.58,8.69,,
10,Devin Booker,,KENTUCKY,,38,0,21.47,3.55,7.55,0.47,1.53,3.71,0.411,2.03,3.84,0.527,0.571,1.39,1.68,0.828,0.45,1.55,2.0,1.11,0.45,0.05,0.97,1.53,10.03,,
11,Cameron Payne,,MURRAYST,,35,0,32.2,7.0,15.34,0.456,2.4,6.37,0.377,4.6,8.97,0.513,0.534,3.8,4.83,0.787,0.6,3.09,3.69,5.97,1.94,0.49,2.49,2.06,20.2,,
12,Kelly Oubre Jr.,,KANSAS,,36,0,21.0,3.06,6.89,0.444,0.94,2.64,0.358,2.11,4.25,0.497,0.512,2.19,3.06,0.718,1.14,3.83,4.97,0.78,1.14,0.36,1.19,1.97,9.25,,
13,Terry Rozier,,LOUISVILLE,,36,0,35.0,5.94,14.47,0.411,1.33,4.36,0.306,4.61,10.11,0.456,0.457,3.86,4.89,0.79,1.19,4.36,5.56,3.0,2.0,0.17,2.19,1.72,17.08,,
14,Rashad Vaughn,,UNLV,,23,0,32.26,6.26,14.26,0.439,2.35,6.13,0.383,3.91,8.13,0.481,0.521,2.96,4.26,0.694,0.61,4.22,4.83,1.57,0.78,0.35,2.17,2.35,17.83,,
15,Sam Dekker,,WISCONSIN,,40,0,30.98,5.33,10.15,0.525,1.25,3.77,0.331,4.08,6.38,0.639,0.586,2.0,2.83,0.708,1.93,3.58,5.5,1.23,0.53,0.45,0.9,1.05,13.9,,
16,Jerian Grant,,NOTREDAME,,38,0,37.05,5.37,11.24,0.478,1.32,4.16,0.316,4.05,7.08,0.572,0.536,4.47,5.74,0.78,0.34,2.68,3.03,6.66,1.66,0.5,2.16,1.97,16.53,,
17,Delon Wright,,UTAH,,35,0,33.29,4.71,9.26,0.509,0.74,2.09,0.356,3.97,7.17,0.554,0.549,4.37,5.23,0.836,0.97,3.97,4.94,5.09,2.09,0.97,1.94,1.4,14.54,,
18,Justin Anderson,,VIRGINIA,,26,0,27.85,3.96,8.5,0.466,1.81,4.0,0.452,2.15,4.5,0.479,0.572,2.46,3.15,0.78,0.65,3.38,4.04,1.73,0.65,0.54,1.19,1.15,12.19,,
19,Bobby Portis,,ARKANSAS,,36,0,29.89,6.94,12.94,0.536,0.39,0.83,0.467,6.56,12.11,0.541,0.552,3.19,4.33,0.737,3.69,5.22,8.92,1.17,1.08,1.39,1.56,2.17,17.47,,
20,Rondae Hollis-Jefferson,,ARIZONA,,38,0,28.68,3.63,7.24,0.502,0.16,0.76,0.207,3.47,6.47,0.537,0.513,3.82,5.39,0.707,2.03,4.82,6.84,1.55,1.16,0.84,1.55,2.47,11.24,,
21,Tyus Jones,,DUKE,,39,0,33.9,3.46,8.31,0.417,1.21,3.18,0.379,2.26,5.13,0.44,0.489,3.69,4.15,0.889,0.49,3.03,3.51,5.56,1.51,0.08,1.95,1.18,11.82,,
22,Jarell Martin,,LSU,,33,0,35.12,6.12,12.03,0.509,0.42,1.58,0.269,5.7,10.45,0.545,0.526,4.24,6.15,0.69,2.97,6.27,9.24,1.79,1.15,0.7,2.79,2.79,16.91,,
23,Larry Nance Jr.,,WYOMING,,31,0,34.9,5.97,11.61,0.514,0.45,1.35,0.333,5.52,10.26,0.538,0.533,3.68,4.68,0.786,1.42,5.81,7.23,2.45,1.19,1.19,2.26,2.23,16.06,,
24,R.J. Hunter,,GEORGIAST,,35,0,36.97,5.8,14.69,0.395,2.29,7.49,0.305,3.51,7.2,0.488,0.473,5.77,6.57,0.878,0.77,3.94,4.71,3.6,2.14,1.0,2.2,2.43,19.66,,
25,Chris McCullough,,SYRACUSE,,16,0,28.12,3.38,7.06,0.478,0.06,0.06,1.0,3.31,7.0,0.473,0.482,2.5,4.44,0.563,2.25,4.62,6.88,1.12,1.69,2.06,2.19,2.56,9.31,,
26,Kevon Looney,,UCLA,,36,0,30.92,4.19,8.92,0.47,0.61,1.47,0.415,3.58,7.44,0.481,0.505,2.56,4.08,0.626,3.39,5.81,9.19,1.42,1.28,0.89,1.25,2.89,11.56,,
27,Montrezl Harrell,,LOUISVILLE,,35,0,35.11,6.09,10.74,0.566,0.26,1.06,0.243,5.83,9.69,0.602,0.578,3.26,5.46,0.597,3.17,6.0,9.17,1.4,0.94,1.2,1.97,2.11,15.69,,
28,Jordan Mickey,,LSU,,31,0,34.87,6.16,12.23,0.504,0.03,0.29,0.111,6.13,11.94,0.514,0.505,3.06,4.74,0.646,3.19,6.74,9.94,1.29,0.94,3.61,3.26,2.61,15.42,,
29,Anthony Brown,,STANFORD,,37,0,35.68,4.76,11.03,0.431,2.14,4.84,0.441,2.62,6.19,0.424,0.528,3.14,3.95,0.795,1.14,5.78,6.92,2.54,0.76,0.19,1.95,2.11,14.78,,
30,Rakeem Christmas,,SYRACUSE,,31,0,34.32,6.55,11.87,0.552,0.0,0.03,0.0,6.55,11.84,0.553,0.552,4.39,6.16,0.712,3.13,5.97,9.1,1.52,0.94,2.52,2.52,3.39,17.48,,
31,Richaun Holmes,,BOWLGREEN,,31,0,28.77,5.32,9.45,0.563,0.58,1.39,0.419,4.74,8.06,0.588,0.594,3.52,4.94,0.712,2.84,5.16,8.0,0.84,0.71,2.68,1.94,2.48,14.74,,
32,Darrun Hilliard,,VILLANOVA,,35,0,28.77,4.86,11.03,0.44,2.26,5.83,0.387,2.6,5.2,0.5,0.543,2.34,2.94,0.796,0.46,2.66,3.11,2.11,1.8,0.34,1.2,2.23,14.31,,
33,Josh Richardson,,TENNESSEE,,32,0,36.31,5.75,12.47,0.461,1.44,4.0,0.359,4.31,8.47,0.509,0.519,3.09,3.88,0.798,0.88,3.59,4.47,3.59,2.09,0.5,2.66,2.47,16.03,,
34,Pat Connaughton,,NOTREDAME,,38,0,35.55,4.37,9.37,0.466,2.45,5.79,0.423,1.92,3.58,0.537,0.597,1.32,1.68,0.781,1.08,6.34,7.42,1.5,0.71,0.95,1.16,1.97,12.5,,
35,Olivier Hanlan,,BOSTONCOLL,,32,0,37.62,7.03,15.5,0.454,2.03,5.75,0.353,5.0,9.75,0.513,0.519,3.44,4.53,0.759,0.75,3.47,4.22,4.22,1.28,0.03,2.66,2.12,19.53,,
36,Joe Young,,OREGON,,36,0,36.72,7.36,16.44,0.448,2.53,7.08,0.357,4.83,9.36,0.516,0.524,3.44,3.72,0.925,0.53,3.92,4.44,3.75,1.14,0.03,2.42,1.42,20.69,,
37,Andrew Harrison,,KENTUCKY,,39,0,25.49,2.59,6.85,0.378,0.92,2.41,0.383,1.67,4.44,0.376,0.446,3.23,4.08,0.792,0.33,1.9,2.23,3.56,1.03,0.21,1.64,1.79,9.33,,
38,Marcus Thornton,,WILLMARY,,33,0,36.67,6.52,14.3,0.456,3.09,7.7,0.402,3.42,6.61,0.518,0.564,3.85,4.64,0.83,0.27,2.52,2.79,2.88,0.64,0.12,2.33,1.09,19.97,,
39,Norman Powell,,UCLA,,36,0,34.56,5.92,12.97,0.456,1.06,3.31,0.319,4.86,9.67,0.503,0.497,3.53,4.69,0.751,0.58,4.11,4.69,2.08,1.83,0.44,2.22,2.53,16.42,,
40,Dakari Johnson,,KENTUCKY,,39,0,16.28,2.03,4.0,0.506,0.0,0.0,0.0,2.03,4.0,0.506,0.506,2.31,3.69,0.625,1.72,2.87,4.59,0.74,0.36,0.92,1.08,1.77,6.36,,
41,Aaron White,,IOWA,,34,0,31.47,5.03,9.65,0.521,0.62,1.74,0.356,4.41,7.91,0.558,0.553,5.74,7.0,0.819,2.09,5.21,7.29,1.41,1.32,0.47,1.21,1.56,16.41,,
42,Tyler Harvey,,EWASHINGTN,,32,0,36.94,7.19,15.31,0.469,4.0,9.28,0.431,3.19,6.03,0.528,0.6,4.69,5.5,0.852,0.62,3.0,3.62,2.56,1.12,0.12,2.0,1.88,23.06,,
43,Sir'Dominic Pointer,,STJOHNS,,33,0,34.64,5.3,10.12,0.524,0.06,0.76,0.08,5.24,9.36,0.56,0.527,3.03,4.18,0.725,1.94,5.73,7.67,2.97,1.91,2.42,2.0,3.0,13.7,,
44,Cady Lalanne,,UMASS,,32,0,29.03,4.31,7.81,0.552,0.09,0.56,0.167,4.22,7.25,0.582,0.558,2.84,4.47,0.636,3.44,6.06,9.5,0.31,0.59,1.91,2.5,2.72,11.56,,
45,Branden Dawson,,MICHIGANST,,35,0,30.14,5.2,9.71,0.535,0.0,0.0,0.0,5.2,9.71,0.535,0.535,1.46,2.97,0.49,2.91,6.17,9.09,1.69,1.2,1.66,1.91,2.06,11.86,,
46,J.P. Tokoto,,UNC,,38,0,29.11,3.05,7.13,0.428,0.32,0.84,0.375,2.74,6.29,0.435,0.45,1.89,3.08,0.615,1.61,4.0,5.61,4.29,1.47,0.34,2.24,2.39,8.32,,
47,Kris Dunn,,PROVIDENCE,,33,0,34.03,5.61,11.82,0.474,0.82,2.33,0.351,4.79,9.48,0.505,0.509,3.58,5.21,0.686,0.85,4.61,5.45,7.48,2.73,0.3,4.18,3.06,15.61,,
48,Buddy Hield,,OKLAHOMA,,35,0,32.43,5.86,14.23,0.412,2.66,7.4,0.359,3.2,6.83,0.469,0.505,3.06,3.71,0.823,1.6,3.83,5.43,1.91,1.34,0.23,1.94,1.74,17.43,,
49,Jakob Poeltl,,UTAH,,34,0,23.29,3.76,5.53,0.681,0.0,0.03,0.0,3.76,5.5,0.684,0.681,1.62,3.65,0.444,2.71,4.06,6.76,0.68,0.35,1.85,1.62,2.41,9.15,,
50,Domantas Sabonis,,GONZAGA,,38,0,21.63,3.82,5.71,0.668,0.0,0.0,0.0,3.82,5.71,0.668,0.668,2.08,3.13,0.664,2.16,4.89,7.05,0.87,0.45,0.32,1.55,2.74,9.71,,
51,Taurean Prince,,BAYLOR,,33,0,26.3,5.06,10.73,0.472,1.82,4.61,0.395,3.24,6.12,0.53,0.556,1.97,3.06,0.644,1.82,3.76,5.58,1.27,1.48,0.88,2.03,2.12,13.91,,
52,Denzel Valentine,,MICHIGANST,,39,0,33.21,5.05,11.41,0.443,2.62,6.28,0.416,2.44,5.13,0.475,0.557,1.82,2.21,0.826,1.18,5.1,6.28,4.28,0.9,0.23,2.36,2.18,14.54,,
53,Wade Baldwin,,VANDY,,35,0,28.83,2.83,6.49,0.436,1.23,2.8,0.439,1.6,3.69,0.434,0.531,2.43,3.03,0.802,0.49,3.66,4.14,4.43,1.43,0.11,1.91,2.46,9.31,,
54,Caris LeVert,,MICHIGAN,,18,0,35.83,5.17,12.28,0.421,1.78,4.39,0.405,3.39,7.89,0.43,0.493,2.83,3.5,0.81,0.28,4.61,4.89,3.72,1.78,0.39,2.17,1.72,14.94,,
55,DeAndre' Bembry,,STJOSEPHS,,31,0,38.61,6.42,14.87,0.432,1.61,4.94,0.327,4.81,9.94,0.484,0.486,3.29,5.16,0.637,1.58,6.16,7.74,3.58,1.94,0.94,2.87,2.35,17.74,,
56,Brice Johnson,,UNC,,38,0,24.74,5.45,9.63,0.566,0.0,0.0,0.0,5.45,9.63,0.566,0.566,2.05,3.03,0.678,2.34,5.42,7.76,0.92,0.68,1.11,1.53,2.95,12.95,,
57,Pascal Siakam,,NMSTATE,,34,0,30.82,4.88,8.53,0.572,0.0,0.06,0.0,4.88,8.47,0.576,0.572,3.06,4.03,0.759,3.26,4.44,7.71,1.32,0.82,1.79,1.88,2.59,12.82,,
58,Damian Jones,,VANDY,,35,0,29.14,5.31,9.46,0.562,0.03,0.14,0.2,5.29,9.31,0.567,0.563,3.8,6.34,0.599,2.17,4.31,6.49,0.74,0.57,2.0,2.17,2.54,14.46,,
59,Tyler Ulis,,KENTUCKY,,37,0,23.84,1.81,4.46,0.406,0.89,2.08,0.429,0.92,2.38,0.386,0.506,1.14,1.41,0.808,0.43,1.38,1.81,3.65,1.0,0.05,1.03,1.51,5.65,,
60,Malcolm Brogdon,,VIRGINIA,,34,0,32.5,4.65,11.0,0.422,1.29,3.76,0.344,3.35,7.24,0.463,0.481,3.41,3.88,0.879,0.47,3.47,3.94,2.38,0.71,0.41,1.71,1.91,14.0,,
61,Chinanu Onuaku,,LOUISVILLE,,35,0,17.8,1.29,2.09,0.616,0.0,0.0,0.0,1.29,2.09,0.616,0.616,0.4,0.86,0.467,1.97,2.6,4.57,0.54,0.74,1.2,1.26,2.37,2.97,,
62,Patrick McCaw,,UNLV,,32,0,29.59,3.28,8.16,0.402,1.78,4.84,0.368,1.5,3.31,0.453,0.511,1.25,1.75,0.714,0.72,2.53,3.25,2.69,1.5,0.31,1.78,1.53,9.59,,
63,Isaiah Whitehead,,SETONHALL,,22,0,27.82,4.14,11.27,0.367,1.64,4.73,0.346,2.5,6.55,0.382,0.44,2.14,2.86,0.746,1.0,2.86,3.86,3.55,1.36,0.64,3.32,2.41,12.05,,
64,Demetrius Jackson,,NOTREDAME,,38,0,34.68,4.39,8.66,0.508,1.42,3.32,0.429,2.97,5.34,0.557,0.59,2.16,2.89,0.745,1.16,2.45,3.61,3.05,1.55,0.32,1.5,1.87,12.37,,
65,A.J. Hammons,,PURDUE,,34,0,24.32,4.62,8.56,0.54,0.0,0.21,0.0,4.62,8.35,0.553,0.54,2.68,4.0,0.669,2.41,4.24,6.65,0.91,0.5,2.82,2.15,2.56,11.91,,
66,Jake Layman,,MARYLAND,,35,0,30.09,4.09,8.69,0.47,1.29,3.4,0.378,2.8,5.29,0.53,0.544,3.03,4.03,0.752,1.29,4.51,5.8,1.4,0.8,0.74,1.91,2.14,12.49,,
