Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Markelle Fultz,,WASHINGTON,,25,0,35.68,8.36,17.56,0.476,2.08,5.04,0.413,6.28,12.52,0.502,0.535,4.36,6.72,0.649,1.32,4.4,5.72,5.92,1.6,1.2,3.2,2.52,23.16,,
2,Lonzo Ball,,UCLA,,36,0,35.08,5.25,9.53,0.551,2.22,5.39,0.412,3.03,4.14,0.732,0.668,1.83,2.72,0.673,0.92,5.08,6.0,7.61,1.83,0.78,2.47,1.81,14.56,,
3,Jayson Tatum,,DUKE,,29,0,33.31,5.69,12.59,0.452,1.38,4.03,0.342,4.31,8.55,0.504,0.507,4.07,4.79,0.849,1.34,6.0,7.34,2.14,1.34,1.14,2.62,2.97,16.83,,
4,Josh Jackson,,KANSAS,,35,0,30.77,6.29,12.26,0.513,0.97,2.57,0.378,5.31,9.69,0.549,0.552,2.8,4.94,0.566,2.31,5.06,7.37,2.97,1.69,1.06,2.77,2.97,16.34,,
5,De'Aaron Fox,,KENTUCKY,,36,0,29.56,5.94,12.42,0.479,0.47,1.92,0.246,5.47,10.5,0.521,0.498,4.33,5.89,0.736,0.58,3.39,3.97,4.58,1.47,0.19,2.42,2.5,16.69,,
6,Jonathan Isaac,,FLORIDAST,,32,0,26.22,4.06,8.0,0.508,0.97,2.78,0.348,3.09,5.22,0.593,0.568,2.88,3.69,0.78,1.75,6.09,7.84,1.16,1.16,1.53,1.5,2.19,11.97,,
7,Lauri Markkanen,,ARIZONA,,37,0,30.81,5.0,10.16,0.492,1.86,4.41,0.423,3.14,5.76,0.545,0.584,3.7,4.43,0.835,2.38,4.81,7.19,0.86,0.41,0.51,1.08,1.97,15.57,,
8,Dennis Smith Jr.,,NCSTATE,,32,0,34.81,5.97,13.12,0.455,1.72,4.78,0.359,4.25,8.34,0.509,0.52,4.47,6.25,0.715,0.81,3.75,4.56,6.16,1.94,0.44,3.38,2.09,18.12,,
9,Zach Collins,,GONZAGA,,39,0,17.26,3.46,5.31,0.652,0.26,0.54,0.476,3.21,4.77,0.672,0.676,2.82,3.79,0.743,1.69,4.21,5.9,0.41,0.46,1.77,1.54,2.69,10.0,,
10,Malik Monk,,KENTUCKY,,38,0,32.05,6.61,14.68,0.45,2.74,6.89,0.397,3.87,7.79,0.497,0.543,3.89,4.74,0.822,0.32,2.18,2.5,2.29,0.95,0.5,1.97,1.89,19.84,,
11,Luke Kennard,,DUKE,,37,0,35.51,6.41,13.11,0.489,2.38,5.43,0.438,4.03,7.68,0.525,0.579,4.32,5.05,0.856,1.16,3.92,5.08,2.46,0.84,0.35,1.59,2.24,19.51,,
12,Donovan Mitchell,,LOUISVILLE,,34,0,32.29,5.32,13.06,0.408,2.35,6.65,0.354,2.97,6.41,0.463,0.498,2.56,3.18,0.806,1.09,3.76,4.85,2.74,2.06,0.5,1.65,2.59,15.56,,
13,Bam Adebayo,,KENTUCKY,,38,0,30.13,4.47,7.47,0.599,0.0,0.0,0.0,4.47,7.47,0.599,0.599,4.05,6.21,0.653,3.11,4.89,8.0,0.84,0.68,1.5,1.68,2.61,13.0,,
14,Justin Jackson,,UNC,,40,0,32.02,6.6,14.9,0.443,2.62,7.1,0.37,3.98,7.8,0.51,0.531,2.45,3.27,0.748,1.45,3.2,4.65,2.83,0.78,0.23,1.73,1.38,18.27,,
15,Justin Patton,,CREIGHTON,,35,0,25.29,5.71,8.46,0.676,0.23,0.43,0.533,5.49,8.03,0.683,0.689,1.29,2.49,0.517,1.69,4.54,6.23,1.17,0.86,1.43,1.71,2.74,12.94,,
16,D.J. Wilson,,MICHIGAN,,38,0,30.39,4.32,8.03,0.538,1.08,2.89,0.373,3.24,5.13,0.631,0.605,1.32,1.58,0.833,1.5,3.84,5.34,1.32,0.53,1.5,1.11,1.89,11.03,,
17,T.J. Leaf,,UCLA,,35,0,29.94,6.71,10.89,0.617,0.77,1.66,0.466,5.94,9.23,0.644,0.652,2.06,3.03,0.679,2.23,5.97,8.2,2.43,0.63,1.11,1.49,2.54,16.26,,
18,John Collins,,WAKE,,33,0,26.61,7.09,11.39,0.622,0.0,0.03,0.0,7.09,11.36,0.624,0.622,4.97,6.67,0.745,3.76,6.06,9.82,0.52,0.64,1.58,1.82,2.97,19.15,,
19,Harry Giles,,DUKE,,26,0,11.54,1.73,3.0,0.577,0.0,0.0,0.0,1.73,3.0,0.577,0.577,0.46,0.92,0.5,1.58,2.27,3.85,0.35,0.35,0.65,0.69,2.23,3.92,,
20,Jarrett Allen,,TEXAS,,33,0,32.15,5.42,9.58,0.566,0.0,0.21,0.0,5.42,9.36,0.579,0.566,2.55,4.52,0.564,3.03,5.39,8.42,0.82,0.58,1.55,2.55,2.06,13.39,,
21,OG Anunoby,,INDIANA,,16,0,25.12,4.25,7.62,0.557,0.88,2.81,0.311,3.38,4.81,0.701,0.615,1.69,3.0,0.562,1.75,3.69,5.44,1.44,1.31,1.31,1.62,2.06,11.06,,
22,Tyler Lydon,,SYRACUSE,,34,0,36.09,4.44,9.38,0.473,1.44,3.65,0.395,3.0,5.74,0.523,0.55,2.85,3.41,0.836,2.32,6.32,8.65,2.06,1.03,1.44,1.74,2.47,13.18,,
23,Caleb Swanigan,,PURDUE,,35,0,32.54,6.34,12.03,0.527,1.09,2.43,0.447,5.26,9.6,0.548,0.572,4.69,6.0,0.781,2.74,9.71,12.46,3.06,0.43,0.8,3.37,2.77,18.46,,
24,Kyle Kuzma,,UTAH,,29,0,30.83,6.28,12.45,0.504,0.93,2.9,0.321,5.34,9.55,0.56,0.542,2.93,4.38,0.669,2.79,6.55,9.34,2.45,0.62,0.48,2.14,1.59,16.41,,
25,Tony Bradley,,UNC,,38,0,14.55,2.68,4.68,0.573,0.0,0.0,0.0,2.68,4.68,0.573,0.573,1.71,2.76,0.619,2.58,2.55,5.13,0.61,0.26,0.58,0.66,1.82,7.08,,
26,Derrick White,,COLORADO,,34,0,32.82,6.03,11.88,0.507,1.68,4.24,0.396,4.35,7.65,0.569,0.578,4.35,5.35,0.813,1.03,3.06,4.09,4.35,1.24,1.44,2.38,2.12,18.09,,
27,Josh Hart,,VILLANOVA,,36,0,33.14,6.56,12.86,0.51,2.06,5.08,0.404,4.5,7.78,0.579,0.59,3.53,4.72,0.747,1.42,4.97,6.39,2.94,1.56,0.28,1.97,2.25,18.69,,
