Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,LaMarcus Aldridge,,TEXAS,,37,0,33.7,5.92,10.41,0.569,0.0,0.0,0.0,5.92,10.41,0.569,0.569,3.16,4.89,0.646,3.65,5.51,9.16,0.54,1.35,1.97,1.59,2.49,15.0,,
2,Adam Morrison,,GONZAGA,,33,0,36.52,9.27,18.7,0.496,2.24,5.24,0.428,7.03,13.45,0.523,0.556,7.27,9.42,0.772,1.42,4.09,5.52,1.7,1.06,0.33,2.3,2.0,28.06,,
3,Tyrus Thomas,,LSU,,32,0,25.91,4.75,7.81,0.608,0.03,0.03,1.0,4.72,7.78,0.606,0.61,2.81,4.28,0.657,2.81,6.41,9.22,1.31,1.03,3.09,1.84,2.56,12.34,,
4,Shelden Williams,,DUKE,,36,0,33.28,6.58,11.39,0.578,0.06,0.17,0.333,6.53,11.22,0.582,0.58,5.58,7.5,0.744,3.25,7.42,10.67,1.08,1.67,3.81,2.47,3.17,18.81,,
5,Brandon Roy,,WASHINGTON,,33,0,31.7,6.91,13.61,0.508,1.18,2.94,0.402,5.73,10.67,0.537,0.551,5.18,6.39,0.81,2.09,3.55,5.64,4.09,1.39,0.79,2.27,2.45,20.18,,
6,Randy Foye,,VILLANOVA,,33,0,34.7,6.85,16.67,0.411,2.7,7.7,0.35,4.15,8.97,0.463,0.492,4.12,5.21,0.791,1.64,4.12,5.76,3.03,1.39,0.64,2.15,2.15,20.52,,
7,Rudy Gay,,UCONN,,33,0,30.76,5.67,12.3,0.461,0.85,2.67,0.318,4.82,9.64,0.5,0.495,3.06,4.18,0.732,2.0,4.36,6.36,2.06,1.76,1.58,2.48,2.27,15.24,,
8,Patrick O'Bryant,,BRADLEY,,25,0,25.68,5.32,9.64,0.552,0.0,0.0,0.0,5.32,9.64,0.552,0.552,2.76,4.08,0.676,2.92,5.36,8.28,0.84,0.88,2.88,2.08,2.96,13.4,,
9,JJ Redick,,DUKE,,36,0,37.11,8.39,17.86,0.47,3.86,9.17,0.421,4.53,8.69,0.521,0.578,6.14,7.11,0.863,0.19,1.78,1.97,2.64,1.44,0.06,2.5,1.5,26.78,,
10,Hilton Armstrong,,UCONN,,34,0,27.74,3.47,5.71,0.608,0.03,0.06,0.5,3.44,5.65,0.609,0.611,2.71,3.91,0.692,2.0,4.65,6.65,0.74,0.62,3.15,2.26,2.76,9.68,,
11,Ronnie Brewer,,ARKANSAS,,32,0,34.75,6.16,13.97,0.441,1.59,4.72,0.338,4.56,9.25,0.493,0.498,4.5,6.0,0.75,1.22,3.59,4.81,3.25,2.59,0.47,2.19,1.44,18.41,,
12,Cedric Simmons,,NCSTATE,,32,0,27.5,4.0,6.81,0.587,0.06,0.06,1.0,3.94,6.75,0.583,0.592,3.75,5.53,0.678,1.75,4.59,6.34,1.69,0.66,2.5,1.84,3.06,11.81,,
13,Rodney Carney,,MEMPHIS,,37,0,27.22,5.95,13.65,0.436,2.76,7.05,0.391,3.19,6.59,0.484,0.537,2.54,3.57,0.712,1.54,2.73,4.27,1.27,1.32,0.68,1.46,2.27,17.19,,
14,Shawne Williams,,MEMPHIS,,36,0,27.28,4.33,10.42,0.416,1.33,4.28,0.312,3.0,6.14,0.489,0.48,3.17,4.03,0.786,1.72,4.44,6.17,1.86,1.39,1.36,2.25,2.92,13.17,,
15,Quincy Douby,,RUTGERS,,33,0,36.7,8.7,18.82,0.462,3.52,8.76,0.401,5.18,10.06,0.515,0.556,4.52,5.33,0.847,0.82,3.45,4.27,3.12,1.76,0.82,2.79,1.85,25.42,,
16,Renaldo Balkman,,SCAROLINA,,38,0,25.74,4.0,6.58,0.608,0.11,0.34,0.308,3.89,6.24,0.624,0.616,1.47,2.74,0.538,2.13,4.16,6.29,1.92,1.71,1.26,1.71,2.21,9.58,,
